id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.493,116.766,63.724,102.917,118.208,132.463,50.567,112.036,70.737,38.198,121.536
s0174_femur_left,PRED,29.149,124.851,55.286,95.914,124.730,140.698,50.708,90.761,91.777,31.708,121.647
s0104_femur_left,PRED,30.404,139.605,36.883,96.466,119.556,36.787,125.735,97.603,90.928,23.916,113.896
s0174_femur_righ,PRED,30.041,126.313,58.866,104.539,133.271,125.738,37.209,99.014,85.195,36.185,125.762
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.457,147.526,57.692,92.927,91.652,34.918,124.867
s0171_femur_left,GT,31.992,125.864,49.462,86.250,135.657,132.887,43.203,85.744,93.583,17.642,107.251
s0212_femur_left,GT,35.070,133.881,57.389,64.425,137.654,53.973,132.730,116.107,103.246,14.903,96.707
s0104_femur_left,GT,30.486,142.437,36.512,100.338,123.384,150.349,60.584,86.598,100.397,30.807,118.639
s0171_femur_left,PRED,32.499,124.491,50.163,83.803,132.215,132.973,44.491,80.637,95.316,21.124,110.382
s0120_femur_righ,PRED,36.513,127.795,39.913,85.250,112.837,44.272,132.548,99.980,83.916,34.158,123.462
s0133_femur_left,PRED,36.960,132.916,55.193,69.821,124.449,45.963,124.227,116.595,98.593,13.898,100.840
s0104_femur_righ,GT,30.793,137.694,34.485,104.176,116.922,144.885,54.912,88.772,86.090,25.749,115.407
s0133_femur_left,GT,37.777,132.390,53.885,69.870,124.021,134.308,52.480,67.933,95.267,15.210,104.227
s0120_femur_righ,GT,36.894,126.367,41.988,85.392,121.082,132.518,43.119,84.131,84.166,29.637,118.943
s0120_femur_left,GT,36.404,121.579,19.817,93.489,132.468,129.517,39.680,86.967,87.206,19.834,109.620
s0133_femur_righ,PRED,37.770,133.105,63.154,72.321,129.791,131.976,49.872,68.251,83.950,11.433,80.335
s0133_femur_righ,GT,39.931,129.844,63.801,72.845,108.531,142.009,54.722,77.706,86.571,33.479,123.256
