id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,1.188,6.450,10.429,5.557,9.434,6.456,6.007,4.405,1.086
s0174_femur_left,1.636,6.001,1.491,4.599,4.516,0.767,1.550,2.927,2.977
s0171_femur_left,0.695,6.199,4.337,2.374,2.473,0.748,5.432,4.113,4.418
s0104_femur_righ,4.278,6.529,12.619,4.914,3.678,9.669,5.095,2.568,2.881
s0104_femur_left,3.193,2.498,20.153,7.066,6.762,23.807,6.195,6.922,5.172
s0212_femur_left,0.041,3.547,2.119,16.252,5.697,12.369,2.748,2.822,0.796
s0133_femur_left,0.261,6.637,6.534,2.265,3.001,0.794,2.465,0.600,2.919
s0120_femur_left,2.672,8.630,15.670,14.636,14.656,0.093,0.004,7.478,7.596
s0120_femur_righ,0.693,2.960,7.105,0.979,1.041,0.323,8.584,1.394,1.939
s0133_femur_righ,1.538,2.717,4.570,1.160,2.422,3.261,0.202,1.494,1.473
s0593_femur_left,1.028,2.245,1.610,72.031,107.384,7.047,5.564,11.855,11.842
s0592_femur_righ,0.511,3.389,9.104,4.911,5.754,1.652,0.057,8.714,9.692
s0375_femur_righ,1.892,2.649,0.361,88.383,90.656,7.795,1.878,0.812,0.653
s0592_femur_left,0.203,3.299,5.959,2.869,4.814,14.214,0.330,3.379,3.548
s0375_femur_left,1.720,1.450,3.769,3.526,2.214,3.444,2.698,2.580,2.711
s0593_femur_righ,0.874,1.860,0.271,1.223,1.913,3.085,1.487,2.938,3.257
s0648_femur_left,1.500,1.415,7.852,0.888,0.102,4.181,3.684,0.641,49.893
s0614_femur_left,1.850,3.278,10.770,1.966,4.321,4.298,2.941,5.696,6.077
s0648_femur_righ,0.950,2.139,5.428,1.485,3.667,9.070,1.620,0.537,0.837
s0664_femur_left,2.321,3.810,4.506,95.217,61.031,51.970,1.483,1.394,3.642
s0723_femur_righ,0.506,5.354,8.324,1.030,0.997,0.751,1.373,1.649,80.331
s0723_femur_left,2.689,3.620,1.611,6.956,6.897,1.283,8.143,2.918,2.909
s0680_femur_left,2.475,4.929,16.206,5.795,7.782,4.335,8.328,1.846,3.561
s0667_femur_left,0.938,4.175,20.168,6.890,8.540,10.491,8.232,1.687,1.052
s0776_femur_left,1.022,8.636,0.651,84.825,89.407,23.898,5.939,1.435,20.588
s0776_femur_righ,1.047,4.476,6.265,1.354,3.726,4.858,2.592,0.451,1.012
s0859_femur_righ,3.472,21.089,0.056,13.035,2.859,21.202,5.230,4.936,23.101
s0880_femur_left,0.483,18.300,18.489,4.801,15.869,14.937,1.736,4.139,3.976
s0859_femur_left,3.033,12.176,16.298,1.204,6.957,12.187,9.975,6.877,3.258
s0880_femur_righ,2.608,6.146,2.509,7.352,6.444,0.550,3.494,3.913,6.172
s1057_femur_left,0.540,9.862,3.867,0.561,2.234,12.829,0.003,9.133,9.133
s1099_femur_righ,1.435,2.262,6.150,3.347,3.357,4.878,2.048,4.328,4.044
s0988_femur_left,0.425,10.372,2.646,9.142,5.766,6.149,5.063,3.264,5.316
s1069_femur_left,1.422,1.723,3.114,0.124,0.939,1.578,2.057,6.597,6.255
s1057_femur_righ,1.653,5.638,3.186,3.928,3.655,1.657,4.644,4.290,4.432
s1228_femur_righ,1.465,3.128,3.697,0.697,0.682,0.110,2.737,2.170,1.446
s1143_femur_righ,0.104,2.407,14.789,8.640,10.018,5.559,0.099,8.952,8.931
s1149_femur_left,3.382,4.883,0.515,4.335,4.849,1.408,2.386,7.162,6.764
s1143_femur_left,0.488,4.134,0.878,2.309,1.954,3.077,0.034,0.834,81.198
s1291_femur_left,0.847,3.693,24.294,12.297,11.988,4.349,1.948,24.006,23.773
