id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.493,116.765,63.722,102.917,118.218,132.441,50.562,112.061,70.723,38.200,121.527
s0174_femur_righ,PRED,26.762,118.972,66.089,101.286,121.030,133.138,45.173,100.859,75.910,33.294,119.472
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.455,147.528,57.693,92.929,91.650,34.918,124.867
s0174_femur_left,PRED,25.848,127.756,55.075,96.140,120.726,146.332,56.334,89.724,92.759,31.362,121.213
s0104_femur_left,GT,30.486,142.437,36.512,100.338,123.530,151.756,61.802,88.512,100.396,30.806,118.639
s0104_femur_righ,GT,30.794,137.695,34.485,104.176,116.925,144.879,54.907,88.776,86.086,25.747,115.404
s0171_femur_left,GT,31.732,126.681,48.724,85.953,131.670,131.202,41.416,86.515,88.189,19.698,109.607
s0120_femur_righ,GT,36.894,126.368,41.988,85.391,121.083,47.481,136.880,95.869,84.169,29.637,118.944
s0104_femur_left,PRED,31.083,140.649,38.996,99.643,120.421,140.697,55.488,73.548,98.936,26.767,115.007
s0104_femur_righ,PRED,30.957,134.313,36.440,100.211,126.228,139.464,50.658,81.764,97.322,28.116,116.981
s0133_femur_left,PRED,36.853,135.108,54.086,71.658,136.399,133.876,50.668,69.919,97.583,7.620,89.254
s0133_femur_righ,GT,39.931,129.845,63.801,72.845,108.531,142.009,54.723,77.705,86.572,33.480,123.257
s0120_femur_left,PRED,32.855,128.371,29.310,91.403,124.686,134.269,44.312,91.571,86.001,32.552,122.244
s0212_femur_left,GT,35.070,133.881,57.389,64.425,137.655,126.026,47.270,63.892,103.246,14.903,96.706
s0171_femur_left,PRED,30.563,123.731,46.826,84.118,123.390,132.606,44.577,79.317,84.104,18.496,107.467
s0212_femur_left,PRED,34.773,131.350,60.009,65.745,120.335,136.969,61.710,60.596,95.110,6.278,93.637
s0120_femur_righ,PRED,36.516,126.428,42.045,86.507,134.643,125.856,36.595,83.634,92.786,25.884,115.711
s0120_femur_left,GT,36.397,121.572,19.869,93.502,131.508,129.891,40.094,86.610,94.072,18.290,72.200
s0133_femur_left,GT,37.782,132.359,53.889,69.880,123.820,137.027,56.183,66.822,82.426,14.002,78.294
s0375_femur_righ,PRED,33.644,127.419,42.364,85.037,129.050,45.826,135.624,93.401,92.372,28.324,118.206
s0375_femur_righ,GT,33.524,128.914,44.966,87.773,129.370,137.822,47.825,89.589,92.882,26.617,116.436
s0592_femur_righ,PRED,30.172,132.310,70.504,75.885,124.857,138.713,53.873,72.766,91.815,7.392,97.163
s0592_femur_left,PRED,30.137,130.552,75.017,75.128,126.825,133.966,50.783,69.883,90.760,6.412,96.366
s0593_femur_left,GT,32.109,119.719,70.756,88.390,134.726,124.707,35.248,84.599,87.535,21.110,110.952
s0375_femur_left,GT,33.707,128.165,41.080,83.404,129.101,129.360,40.715,81.219,89.569,23.341,113.336
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.636,134.401,53.548,66.622,92.756,9.849,99.448
s0133_femur_righ,PRED,38.083,132.204,62.558,73.670,101.459,143.905,56.059,79.167,102.843,32.583,60.626
