id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,2.731,3.624,2.812,0.697,5.389,11.202,5.187,4.906,2.055
s0174_femur_left,4.015,3.348,1.271,1.196,1.359,3.205,1.109,3.556,3.654
s0104_femur_left,0.597,3.139,3.109,11.059,6.314,14.964,1.460,4.039,3.632
s0104_femur_righ,0.163,5.566,9.303,5.415,4.249,7.012,11.236,2.369,1.577
s0171_femur_left,1.169,3.959,8.280,1.404,3.161,7.198,4.085,1.202,2.140
s0120_femur_righ,0.378,1.119,13.560,78.375,100.285,12.235,8.617,3.753,3.233
s0133_femur_left,0.929,3.280,12.579,3.151,5.515,3.097,15.157,6.382,10.960
s0133_femur_righ,1.848,2.791,7.072,1.896,1.336,1.462,16.271,0.897,62.631
s0120_femur_left,3.542,11.822,6.822,4.378,4.218,4.961,8.071,14.262,50.044
s0212_femur_left,0.297,3.875,17.320,10.943,14.440,3.296,8.136,8.625,3.069
s0375_femur_righ,0.120,4.061,0.320,91.996,87.799,3.812,0.510,1.707,1.770
s0592_femur_righ,0.982,3.096,3.572,6.124,3.932,4.606,1.568,5.716,5.486
s0592_femur_left,0.448,2.427,3.189,0.435,2.765,3.261,1.996,3.437,3.082
s0593_femur_left,0.291,0.881,3.974,5.676,6.079,1.937,5.393,4.846,4.813
s0375_femur_left,0.060,3.071,3.813,2.080,1.195,2.468,3.917,1.456,1.759
s0614_femur_left,1.681,1.497,2.619,82.612,92.220,24.403,8.903,3.806,0.700
s0593_femur_righ,0.438,1.453,9.761,7.499,7.506,0.084,16.064,5.407,43.060
s0648_femur_left,0.938,3.174,6.739,3.330,2.591,2.968,7.179,1.782,2.656
s0648_femur_righ,0.522,1.901,8.927,2.351,4.087,2.405,6.010,1.642,0.443
s0664_femur_left,2.623,1.013,6.143,10.243,15.119,4.453,2.777,2.703,6.509
s0680_femur_left,0.593,3.251,5.410,1.186,2.633,2.925,4.835,3.037,2.514
s0723_femur_righ,2.386,4.274,5.567,4.910,5.139,2.782,3.671,9.953,9.814
s0723_femur_left,0.802,4.269,0.314,6.725,6.714,1.032,5.446,2.880,3.063
s0667_femur_left,1.589,2.906,34.279,21.068,21.285,0.416,10.434,19.713,21.316
s0776_femur_left,0.925,4.874,2.809,8.655,7.590,2.086,3.781,1.893,1.367
s0776_femur_righ,0.073,3.335,0.530,0.659,0.242,1.544,1.762,0.548,1.017
s0859_femur_left,0.862,13.486,20.523,5.695,6.508,0.492,13.075,13.840,4.859
s0859_femur_righ,2.734,19.422,11.709,7.683,8.026,20.611,1.449,1.657,1.560
s0880_femur_left,1.341,9.812,19.650,5.947,14.387,12.050,2.567,10.278,10.658
s0880_femur_righ,0.279,6.651,5.240,11.347,5.856,6.950,4.171,2.553,5.015
s1099_femur_righ,0.386,3.675,4.310,1.156,0.188,11.305,8.056,6.048,5.805
s1069_femur_left,0.707,0.983,1.149,1.817,0.453,3.842,3.582,6.892,6.000
s1057_femur_righ,1.737,4.691,1.040,2.608,3.199,2.213,1.846,2.813,2.730
s1057_femur_left,0.127,13.363,14.695,8.899,8.683,7.641,8.085,2.021,4.494
s0988_femur_left,1.810,7.369,0.921,6.270,5.138,2.707,0.785,4.944,6.083
s1149_femur_left,0.643,3.968,0.775,1.334,2.207,2.240,3.335,1.401,0.498
s1228_femur_righ,0.219,1.283,6.439,1.209,0.768,5.093,1.802,2.581,2.273
s1143_femur_righ,2.103,4.021,9.467,9.504,9.639,0.764,1.364,9.020,9.146
s1143_femur_left,1.043,3.383,19.725,13.149,13.280,0.523,2.824,16.807,16.635
s1291_femur_left,0.237,2.660,27.196,16.335,16.045,3.246,4.838,22.740,21.921
