id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.495,116.762,63.722,102.916,118.207,47.552,129.438,67.949,70.719,38.191,121.515
s0174_femur_righ,PRED,29.544,119.538,68.408,102.190,113.521,134.954,47.378,101.862,70.253,38.407,121.422
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.456,147.527,57.692,92.927,91.652,34.920,124.869
s0171_femur_left,PRED,30.806,123.764,51.186,87.509,129.058,133.229,43.845,84.051,87.925,17.857,107.728
s0174_femur_left,PRED,28.033,123.747,57.545,96.283,121.508,145.321,55.387,91.876,90.644,28.839,118.830
s0171_femur_left,GT,31.992,125.864,49.462,86.250,135.660,132.890,43.205,85.755,93.583,17.643,107.252
s0212_femur_left,GT,35.069,133.882,57.389,64.424,137.654,126.023,47.267,63.892,103.242,14.899,96.707
s0104_femur_left,PRED,29.692,139.585,38.036,100.460,125.306,145.271,55.388,87.499,97.155,29.141,118.084
s0104_femur_righ,PRED,30.508,134.090,34.832,106.647,129.876,140.438,50.782,94.399,93.163,26.826,116.608
s0104_femur_righ,GT,30.794,137.694,34.485,104.176,116.922,144.881,54.909,88.772,86.086,25.749,115.406
s0120_femur_left,GT,36.235,121.912,19.868,93.246,120.267,134.861,45.206,85.546,81.900,25.639,114.149
s0133_femur_left,PRED,36.366,134.012,56.007,70.140,127.366,136.240,51.299,72.802,91.159,5.877,95.761
s0133_femur_left,GT,37.782,132.359,53.889,69.879,123.817,137.027,56.183,66.823,97.571,14.003,101.709
s0120_femur_righ,GT,36.894,126.367,41.988,85.392,121.080,132.520,43.121,84.131,84.166,29.637,118.943
s0133_femur_righ,GT,39.931,129.843,63.801,72.846,108.529,142.012,54.724,77.708,86.571,33.482,123.259
s0120_femur_left,PRED,35.147,121.306,24.862,92.504,129.047,131.108,41.117,89.311,85.904,25.149,114.767
s0120_femur_righ,PRED,36.318,127.174,43.006,87.516,123.229,131.098,41.460,85.461,83.603,28.586,117.732
s0104_femur_left,GT,30.487,142.437,36.513,100.338,123.378,150.357,60.592,86.601,100.396,30.808,118.641
s0212_femur_left,PRED,34.376,133.032,60.918,67.479,122.230,138.572,57.834,66.863,83.011,13.231,78.823
s0133_femur_righ,PRED,38.821,131.594,65.277,72.020,105.208,143.069,55.173,79.238,99.430,31.624,60.126
s0375_femur_left,GT,33.707,128.166,41.079,83.404,129.098,129.361,40.717,81.219,89.568,23.342,113.338
s0592_femur_left,PRED,29.523,130.448,76.186,74.754,122.785,137.361,52.503,72.713,86.517,5.205,93.863
s0593_femur_left,GT,32.210,119.391,71.062,88.262,136.105,124.655,35.872,81.865,91.243,20.675,110.634
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.637,134.401,53.546,66.625,92.757,9.850,99.449
s0593_femur_righ,GT,32.481,124.824,62.450,87.750,129.613,136.672,47.779,82.022,94.445,20.625,110.098
s0375_femur_righ,PRED,33.210,128.011,44.588,87.630,126.758,136.805,46.919,87.439,89.890,25.054,115.053
s0592_femur_righ,PRED,29.911,131.710,73.171,75.473,123.083,137.278,53.886,70.367,88.804,4.642,94.485
s0375_femur_righ,GT,33.524,128.913,44.965,87.773,129.381,137.821,47.823,89.613,92.879,26.616,116.435
s0375_femur_left,PRED,33.208,127.025,41.927,83.306,121.682,134.802,45.962,81.820,86.974,26.060,115.857
s0592_femur_righ,GT,31.154,130.371,72.886,75.393,121.156,144.950,57.897,77.427,93.467,13.468,102.998
s0648_femur_left,PRED,31.449,141.015,64.250,83.432,117.043,151.597,63.504,80.505,97.246,24.012,112.760
s0614_femur_left,GT,32.300,128.457,59.157,75.867,124.269,131.711,47.141,72.087,88.564,14.764,104.690
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.339,148.288,59.590,81.855,88.948,25.538,115.513
s0593_femur_righ,PRED,31.626,124.592,62.883,87.332,134.259,131.272,42.157,82.887,95.479,23.076,112.343
s0614_femur_left,PRED,32.538,127.410,63.008,76.777,123.482,135.839,49.190,76.037,88.446,14.720,104.634
s0593_femur_left,PRED,33.767,119.237,73.819,92.944,139.997,127.085,38.017,82.798,80.919,24.241,67.727
s0648_femur_righ,GT,31.784,132.241,48.725,78.947,114.987,138.277,55.994,68.854,94.759,24.688,114.165
s0648_femur_righ,PRED,31.227,132.356,49.826,78.139,126.418,143.611,56.150,78.219,100.228,21.781,109.016
s0723_femur_left,GT,29.130,128.499,52.859,98.197,124.345,43.706,133.694,89.169,88.086,32.832,122.762
s0723_femur_righ,GT,32.532,122.494,60.159,97.961,119.162,136.855,46.869,90.895,87.079,41.227,131.077
s0664_femur_left,PRED,32.219,135.853,43.352,75.127,129.199,145.167,60.936,72.516,113.590,32.363,110.823
s0723_femur_righ,PRED,31.230,123.205,61.275,99.013,123.974,138.884,49.380,95.313,89.300,38.347,128.339
s0723_femur_left,PRED,28.518,127.403,56.587,99.868,128.275,139.780,49.815,91.397,94.359,31.749,121.377
s0664_femur_left,GT,31.554,138.074,43.206,76.289,122.617,143.022,65.637,64.039,112.196,28.342,106.707
s0776_femur_left,GT,34.612,132.556,38.280,72.595,127.186,130.125,45.103,72.899,85.796,9.634,98.653
s0667_femur_left,PRED,36.455,140.659,48.868,85.377,128.915,138.946,49.732,83.314,96.348,24.019,113.063
s0776_femur_left,PRED,34.432,130.030,42.670,73.445,124.263,136.801,51.065,74.252,86.534,5.262,93.954
s0680_femur_left,PRED,35.657,128.386,43.686,80.601,95.278,142.348,57.974,72.350,85.211,45.388,134.988
s0667_femur_left,GT,39.470,139.561,46.703,83.318,99.456,152.902,64.604,81.170,88.096,45.133,135.070
s0859_femur_left,GT,32.806,135.330,33.358,70.418,100.589,145.223,61.707,71.500,73.018,17.751,95.016
s0859_femur_left,PRED,32.856,133.032,36.150,73.717,114.676,141.299,57.515,71.329,80.676,9.685,87.402
s0776_femur_righ,GT,35.093,132.668,47.805,75.587,124.146,133.938,48.851,72.994,86.686,9.823,99.236
s0776_femur_righ,PRED,34.736,132.829,48.559,75.442,123.056,133.820,46.682,77.088,81.361,10.731,96.318
s0880_femur_left,GT,34.136,127.144,37.599,80.229,135.229,135.402,48.332,76.946,95.965,8.202,95.609
s0859_femur_righ,PRED,31.956,128.503,37.728,64.619,120.843,128.954,58.465,54.865,95.968,9.136,96.893
s0859_femur_righ,GT,33.098,129.892,31.602,60.878,111.759,132.731,61.855,55.732,89.931,9.571,99.571
s0880_femur_righ,GT,35.094,123.812,36.038,73.496,126.822,120.989,42.778,63.711,96.127,20.119,109.086
s0680_femur_left,GT,35.211,130.655,39.786,78.218,119.066,132.501,47.054,73.635,89.763,26.602,63.399
s1099_femur_righ,PRED,30.574,125.269,65.019,96.394,124.754,146.141,58.242,100.527,95.505,47.230,136.702
s1099_femur_righ,GT,31.949,124.852,64.634,96.693,111.910,146.756,56.873,87.523,94.858,52.034,141.611
s0880_femur_left,PRED,31.317,127.531,41.713,78.830,118.856,130.146,59.395,55.237,80.357,15.314,78.217
s0880_femur_righ,PRED,35.571,123.359,36.856,74.340,135.791,125.489,43.109,68.867,96.390,11.858,99.948
s1057_femur_left,PRED,30.596,150.502,33.818,83.605,111.878,156.442,66.519,91.805,88.551,12.441,102.353
s0988_femur_left,PRED,35.510,140.751,48.817,68.465,118.998,148.260,65.207,71.479,100.017,15.812,102.107
s1069_femur_left,PRED,33.585,132.734,41.507,71.343,130.872,131.819,49.125,69.110,93.202,6.258,95.371
s1057_femur_righ,PRED,33.290,143.288,48.071,81.958,116.194,148.916,59.396,85.072,90.075,21.908,111.908
s1069_femur_left,GT,32.887,131.521,41.403,72.992,128.279,133.308,50.016,70.032,91.836,7.015,96.768
s0988_femur_left,GT,36.222,142.365,49.375,68.710,118.341,149.532,64.718,74.137,95.679,8.900,96.830
s1057_femur_left,GT,32.744,154.849,37.373,86.302,107.537,162.321,72.586,92.957,89.999,16.898,106.898
s1057_femur_righ,GT,33.795,143.370,49.134,83.009,117.489,144.609,55.180,84.444,88.156,23.017,112.934
s1143_femur_left,GT,36.544,129.920,38.615,99.037,122.733,40.704,130.483,93.540,97.740,42.399,131.354
s1143_femur_righ,GT,38.829,119.822,41.174,100.418,109.287,133.954,44.237,85.969,86.491,53.225,143.002
s1143_femur_left,PRED,37.065,129.888,40.627,99.333,130.354,133.618,43.619,90.241,94.319,34.978,124.631
s1149_femur_left,GT,34.026,127.147,41.592,80.908,132.073,130.703,43.977,76.205,89.235,8.135,98.099
s1228_femur_righ,PRED,31.360,125.651,69.561,101.788,97.772,155.026,65.037,90.686,84.289,59.339,148.696
s1149_femur_left,PRED,34.280,129.412,41.855,81.612,127.460,131.037,44.613,75.557,84.238,8.875,96.727
s1291_femur_left,PRED,30.502,123.445,62.029,98.611,129.459,132.656,43.007,94.481,89.049,34.521,124.505
