id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.493,116.766,63.723,102.917,118.220,132.456,50.553,112.028,70.742,38.195,121.536
s0174_femur_righ,PRED,29.606,116.194,64.891,102.399,128.716,131.766,44.765,103.211,83.521,37.355,126.596
s0171_femur_left,PRED,31.263,123.833,47.037,85.488,137.342,129.629,40.531,82.847,93.000,15.101,104.787
s0120_femur_left,GT,36.235,121.911,19.868,93.246,120.271,134.862,45.207,85.551,81.904,25.640,114.152
s0104_femur_left,GT,30.486,142.437,36.512,100.338,123.386,150.342,60.578,86.594,100.396,30.806,118.639
s0174_femur_left,PRED,21.768,146.184,60.857,89.893,120.950,139.506,49.724,86.483,89.559,31.355,121.351
s0104_femur_left,PRED,31.327,142.342,37.232,103.046,133.442,137.522,48.181,83.859,97.373,19.947,108.427
s0133_femur_left,PRED,36.978,135.208,54.911,68.731,122.386,136.818,53.501,70.221,91.196,10.909,100.842
s0104_femur_righ,PRED,32.479,135.135,32.512,107.135,133.273,135.968,45.987,88.958,95.715,26.505,115.787
s0120_femur_righ,GT,36.894,126.367,41.989,85.392,121.082,132.522,43.123,84.133,84.167,29.636,118.943
s0171_femur_left,GT,31.992,125.862,49.461,86.249,135.657,132.882,43.199,85.736,93.583,17.640,107.249
s0120_femur_left,PRED,35.286,122.821,22.678,91.855,126.526,129.807,39.899,87.716,82.104,24.399,112.928
s0212_femur_left,PRED,35.487,132.038,57.751,64.610,123.959,131.757,55.896,60.526,98.851,13.703,100.376
s0133_femur_righ,GT,39.931,129.844,63.801,72.845,105.646,145.973,58.701,77.998,86.571,33.479,123.256
s0120_femur_righ,PRED,36.365,127.038,42.082,84.385,130.277,125.690,36.199,84.731,88.856,29.385,119.359
s0133_femur_righ,PRED,39.163,132.724,64.214,71.587,103.109,142.070,54.526,78.308,78.509,33.006,120.464
s0212_femur_left,GT,35.069,133.882,57.389,64.425,131.905,121.384,50.472,55.321,103.243,14.900,96.707
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.457,147.526,57.691,92.927,88.348,34.919,55.132
s0104_femur_righ,GT,30.794,137.695,34.485,104.176,116.919,144.884,54.912,88.767,93.912,25.746,64.597
s0133_femur_left,GT,37.782,132.359,53.889,69.880,123.817,42.972,123.816,113.178,82.428,14.002,78.292
s0375_femur_left,GT,33.707,128.165,41.080,83.404,129.096,50.638,139.282,98.783,89.566,23.341,113.337
s0592_femur_righ,GT,31.154,130.371,72.886,75.393,121.152,144.951,57.899,77.426,93.466,13.469,102.999
s0592_femur_left,GT,30.585,129.509,74.657,72.965,123.635,134.403,53.545,66.629,92.752,9.849,99.450
s0592_femur_righ,PRED,29.628,131.453,73.134,75.724,126.885,134.658,49.699,72.782,90.093,8.036,98.035
s0592_femur_left,PRED,29.037,130.471,75.584,75.565,124.636,137.053,50.176,76.557,87.866,9.270,99.017
s0593_femur_left,PRED,33.988,119.721,72.199,95.446,136.675,123.618,33.859,86.421,88.750,23.075,113.037
s0593_femur_righ,GT,32.482,124.824,62.450,87.749,129.618,136.667,47.774,82.024,94.445,20.628,110.100
s0593_femur_righ,PRED,32.385,125.058,61.458,86.961,130.486,133.478,44.011,84.471,92.102,23.083,112.976
s0375_femur_righ,GT,33.524,128.914,44.967,87.773,129.375,137.821,47.823,89.597,92.883,26.618,116.437
s0593_femur_left,GT,32.110,119.718,70.757,88.390,134.723,124.704,35.239,84.625,87.510,21.114,110.952
s0375_femur_left,PRED,33.698,124.979,41.133,84.169,131.775,131.262,41.985,83.575,91.996,22.626,112.528
s0375_femur_righ,PRED,33.411,126.481,43.203,88.046,129.609,134.880,45.722,83.037,92.360,21.019,110.874
s0614_femur_left,GT,32.311,128.458,59.167,75.867,124.159,131.853,47.880,71.093,89.664,14.834,104.830
s0614_femur_left,PRED,30.961,132.073,61.470,73.632,128.845,126.748,42.242,72.149,88.265,13.931,103.818
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.341,148.284,59.586,81.850,88.948,25.536,115.512
s0648_femur_righ,PRED,31.080,133.558,48.472,79.043,127.084,138.232,51.536,76.214,96.693,18.954,107.649
s0648_femur_righ,GT,31.783,132.239,48.729,78.948,114.981,138.278,55.996,68.853,94.754,24.687,114.164
s0648_femur_left,PRED,31.810,141.994,60.431,82.746,123.253,149.503,60.721,82.213,100.281,24.460,111.939
s0664_femur_left,GT,31.554,138.074,43.206,76.288,122.615,143.020,65.637,64.036,112.196,28.342,106.708
s0664_femur_left,PRED,32.360,140.009,44.669,76.673,123.950,145.257,65.644,66.838,109.153,23.514,103.121
s0723_femur_righ,PRED,31.050,122.972,60.760,96.877,133.114,134.844,45.921,97.880,92.578,34.289,124.164
s0723_femur_righ,GT,32.532,122.494,60.160,97.962,119.164,136.857,46.871,90.898,87.082,41.230,131.080
s0723_femur_left,PRED,29.935,127.788,55.744,98.308,118.729,144.316,54.391,92.015,88.976,35.360,125.340
s0723_femur_left,GT,29.129,128.499,52.862,98.197,124.497,135.871,45.877,90.578,88.073,32.826,122.755
s0667_femur_left,PRED,36.763,136.161,48.926,87.125,125.352,146.284,56.428,87.244,97.836,28.274,116.978
s0776_femur_left,GT,34.632,132.505,38.281,72.616,128.049,129.698,44.651,72.956,86.769,10.016,99.470
s0776_femur_righ,GT,35.093,132.668,47.805,75.587,124.147,133.939,48.850,72.996,86.685,9.823,99.237
s0776_femur_left,PRED,34.834,131.975,40.534,70.887,128.182,132.813,46.488,75.335,88.434,9.674,99.544
s0680_femur_left,GT,35.210,130.656,39.786,78.218,119.069,132.502,47.053,73.639,90.237,26.601,116.600
s0680_femur_left,PRED,35.265,128.287,43.755,79.221,121.361,132.290,46.072,75.122,94.374,30.482,120.099
s0667_femur_left,GT,39.471,139.560,46.705,83.319,99.459,152.901,64.603,81.169,88.099,45.133,135.070
s0776_femur_righ,PRED,33.784,134.727,48.110,73.800,136.045,124.706,39.414,73.681,90.702,9.898,99.872
s0859_femur_left,GT,32.806,135.330,33.358,70.419,100.589,145.221,61.707,71.497,73.017,17.752,95.015
s0859_femur_righ,PRED,23.809,126.953,34.400,47.062,119.491,132.528,61.805,55.559,98.154,10.705,96.889
s0859_femur_righ,GT,33.098,129.890,31.600,60.879,111.789,132.723,61.838,55.737,89.944,9.565,99.565
s0880_femur_left,GT,34.140,127.121,37.609,80.246,135.006,135.390,48.394,76.782,95.595,7.595,95.120
s0859_femur_left,PRED,33.304,136.974,36.073,73.448,103.396,143.076,61.792,68.235,75.476,15.025,93.765
s0880_femur_left,PRED,35.325,147.702,46.074,129.008,118.910,143.572,57.474,75.404,89.627,9.513,99.505
s0880_femur_righ,GT,35.093,123.812,36.038,73.496,126.842,120.992,42.772,63.722,96.139,20.117,109.080
s1099_femur_righ,PRED,31.519,126.329,63.193,94.007,138.572,133.255,43.328,92.046,95.623,23.108,112.336
s1099_femur_righ,GT,31.949,124.853,64.632,96.692,111.898,146.762,56.879,87.520,94.855,52.042,141.620
s0880_femur_righ,PRED,36.281,124.014,36.181,72.372,123.107,128.780,49.404,64.579,91.802,14.189,104.069
s1057_femur_left,PRED,30.496,150.357,30.437,86.642,124.589,148.216,58.583,85.662,95.153,13.277,102.202
s1069_femur_left,PRED,33.491,133.757,41.419,71.869,125.137,134.138,50.937,69.916,89.015,6.527,96.451
s1057_femur_left,GT,32.744,154.849,37.373,86.301,107.534,162.327,72.592,92.959,90.001,16.898,106.898
s1057_femur_righ,PRED,33.820,143.620,46.626,83.333,116.604,152.386,62.393,89.395,92.800,27.924,117.758
s1069_femur_left,GT,32.887,131.521,41.403,72.992,128.279,133.307,50.015,70.033,91.836,7.016,96.769
s0988_femur_left,PRED,35.535,139.727,45.885,69.260,122.474,142.938,59.470,71.077,95.528,9.202,97.334
s1057_femur_righ,GT,33.794,143.370,49.134,83.010,117.489,144.602,55.176,84.429,88.159,23.017,112.935
s0988_femur_left,GT,36.222,142.363,49.375,68.711,118.327,149.530,64.721,74.128,95.672,8.901,96.837
s1228_femur_righ,GT,30.578,128.623,70.353,101.321,105.321,152.074,63.055,96.793,84.686,56.882,146.347
s1228_femur_righ,PRED,30.729,127.842,67.969,100.966,109.441,150.489,61.688,97.649,88.113,58.453,148.383
s1143_femur_left,GT,36.306,130.213,38.323,98.889,120.169,132.571,42.979,85.165,89.830,40.182,130.182
s1149_femur_left,PRED,34.997,128.907,45.035,80.535,123.907,134.216,49.178,72.911,87.473,10.802,100.496
s1149_femur_left,GT,34.027,127.145,41.585,80.905,132.260,131.221,43.993,77.319,89.242,8.143,98.107
