id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,0.113,1.400,10.496,0.690,5.788,8.817,12.779,0.840,5.060
s0171_femur_left,0.729,3.251,1.685,3.253,2.668,2.889,0.583,2.539,2.462
s0120_femur_left,0.949,3.265,6.255,5.055,5.308,2.165,0.200,1.241,1.224
s0104_femur_left,0.841,2.804,10.056,12.820,12.397,2.735,3.023,10.859,10.212
s0174_femur_left,8.095,22.654,1.493,8.020,7.967,6.444,1.211,3.564,66.219
s0133_femur_left,0.804,3.238,1.431,93.846,70.315,42.957,8.768,3.093,22.550
s0104_femur_righ,1.685,4.382,16.354,8.916,8.925,0.191,1.803,0.759,51.190
s0120_femur_righ,0.529,1.214,9.195,6.832,6.924,0.598,4.689,0.251,0.416
s0212_femur_left,0.418,1.888,7.946,10.373,5.424,5.205,4.392,1.197,3.669
s0133_femur_righ,0.768,3.170,2.537,3.903,4.175,0.310,8.062,0.473,2.792
s0375_femur_left,0.009,3.277,2.679,80.624,97.297,15.208,2.430,0.715,0.809
s0592_femur_righ,1.526,1.158,5.733,10.293,8.200,4.644,3.373,5.433,4.964
s0592_femur_left,1.548,2.923,1.001,2.650,3.369,9.928,4.886,0.579,0.433
s0593_femur_left,1.878,7.202,1.952,1.086,1.380,1.796,1.240,1.961,2.085
s0593_femur_righ,0.097,1.288,0.868,3.189,3.763,2.447,2.343,2.455,2.876
s0375_femur_righ,0.113,3.018,0.234,2.941,2.101,6.560,0.523,5.599,5.563
s0614_femur_left,1.350,4.834,4.686,5.105,5.638,1.056,1.399,0.903,1.012
s0648_femur_left,0.434,3.044,10.912,1.219,1.135,0.363,11.333,1.076,3.573
s0648_femur_righ,0.703,1.347,12.103,0.046,4.460,7.361,1.939,5.733,6.515
s0664_femur_left,0.806,2.456,1.335,2.237,0.007,2.802,3.043,4.828,3.587
s0723_femur_righ,1.482,1.329,13.950,2.013,0.950,6.982,5.496,6.941,6.916
s0723_femur_left,0.806,2.970,5.768,8.445,8.514,1.437,0.903,2.534,2.585
s0667_femur_left,2.708,5.565,25.893,6.617,8.175,6.075,9.737,16.859,18.092
s0776_femur_left,0.202,2.889,0.133,3.115,1.837,2.379,1.665,0.342,0.074
s0776_femur_righ,1.309,2.743,11.898,9.233,9.436,0.685,4.017,0.075,0.635
s0680_femur_left,0.055,4.730,2.292,0.212,0.981,1.483,4.137,3.881,3.499
s0859_femur_left,0.498,4.387,2.807,2.145,0.085,3.262,2.459,2.727,1.250
s0859_femur_righ,9.289,14.401,7.702,0.195,0.033,0.178,8.210,1.140,2.676
s0880_femur_left,1.185,53.600,16.096,8.182,9.080,1.378,5.968,1.918,4.385
s0880_femur_righ,1.188,1.151,3.735,7.788,6.632,0.857,4.337,5.928,5.011
s1099_femur_righ,0.430,3.385,26.674,13.507,13.551,4.526,0.768,28.934,29.284
s1057_femur_left,2.248,8.271,17.055,14.111,14.009,7.297,5.152,3.621,4.696
s1069_femur_left,0.604,2.502,3.142,0.831,0.922,0.117,2.821,0.489,0.318
s1057_femur_righ,0.026,2.541,0.885,7.784,7.217,4.966,4.641,4.907,4.823
s0988_femur_left,0.687,4.408,4.147,6.592,5.251,3.051,0.144,0.301,0.497
s1228_femur_righ,0.151,2.534,4.120,1.585,1.367,0.856,3.427,1.571,2.036
s1143_femur_left,0.241,4.615,11.811,2.047,2.181,10.415,5.040,0.649,79.233
s1149_femur_left,0.970,3.892,8.353,2.995,5.185,4.408,1.769,2.659,2.389
s1291_femur_left,0.768,1.955,0.608,2.493,3.518,4.559,1.235,6.301,6.359
s1143_femur_righ,0.587,3.844,3.384,2.177,2.043,1.310,2.676,2.360,1.873
