id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.494,116.763,63.723,102.916,118.209,132.447,50.558,112.048,70.720,38.194,121.519
s0174_femur_left,PRED,27.921,125.826,54.465,94.817,121.337,144.151,54.535,94.567,90.324,36.148,126.146
s0104_femur_righ,PRED,31.365,133.500,36.036,109.103,135.634,42.998,132.490,84.606,94.016,20.988,110.564
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.459,147.524,57.690,92.930,91.650,34.918,124.868
s0171_femur_left,PRED,30.767,123.758,47.119,85.313,134.518,130.125,40.843,83.615,91.950,19.013,108.905
s0212_femur_left,GT,35.069,133.882,57.389,64.425,131.903,121.387,50.477,55.320,103.243,14.900,96.706
s0212_femur_left,PRED,34.771,132.778,58.242,65.214,118.004,50.226,123.313,122.525,94.262,12.914,102.168
s0104_femur_righ,GT,30.794,137.694,34.485,104.176,116.917,144.886,54.914,88.770,86.088,25.749,115.406
s0104_femur_left,GT,30.486,142.437,36.512,100.338,123.381,150.354,60.588,86.601,100.396,30.806,118.639
s0120_femur_righ,GT,36.894,126.367,41.988,85.392,121.079,132.520,43.122,84.128,84.167,29.636,118.942
s0133_femur_left,GT,37.783,132.358,53.891,69.882,123.819,137.028,56.184,66.822,97.576,14.006,101.710
s0120_femur_righ,PRED,36.625,126.875,42.379,85.979,121.801,133.848,44.615,83.357,86.655,28.937,118.706
s0171_femur_left,GT,31.993,125.860,49.461,86.250,135.657,132.889,43.204,85.749,93.582,17.642,107.251
s0174_femur_righ,PRED,32.710,135.313,19.181,116.586,115.081,126.402,36.476,87.982,102.909,43.881,48.991
s0133_femur_righ,PRED,39.323,131.384,63.469,73.392,107.147,142.330,54.887,78.087,85.575,34.766,124.401
s0133_femur_righ,GT,39.931,129.844,63.801,72.845,108.533,142.008,54.721,77.708,86.571,33.478,123.255
s0120_femur_left,PRED,34.355,120.895,25.502,92.322,118.307,137.797,47.799,89.642,83.519,33.343,122.543
s0120_femur_left,GT,36.397,121.572,19.869,93.502,131.505,129.892,40.095,86.609,85.926,18.289,107.798
s0133_femur_left,PRED,36.962,135.418,55.432,70.855,119.450,138.738,56.766,68.479,92.951,13.083,102.735
s0104_femur_left,PRED,30.925,141.284,38.159,100.709,138.407,135.234,45.234,89.997,101.582,30.725,118.023
s0375_femur_righ,PRED,33.517,128.595,44.163,87.217,131.982,46.867,135.510,98.851,94.968,21.396,110.755
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.634,134.401,53.548,66.623,92.755,9.849,99.448
s0592_femur_left,PRED,29.526,130.626,75.249,75.363,123.449,138.769,52.539,75.290,86.461,4.088,92.044
s0375_femur_left,PRED,33.819,126.629,42.196,84.147,135.368,127.662,39.466,79.911,94.918,21.067,110.432
s0592_femur_righ,PRED,29.509,132.030,70.950,74.879,120.086,138.800,51.849,76.784,86.340,13.501,102.978
s0592_femur_righ,GT,31.154,130.371,72.887,75.394,121.156,144.949,57.898,77.424,93.467,13.466,102.996
s0593_femur_left,PRED,30.877,119.317,74.044,93.552,143.153,125.644,35.767,87.408,99.126,26.425,114.570
s0593_femur_left,GT,32.109,119.720,70.755,88.389,134.728,124.704,35.244,84.600,87.537,21.114,110.957
s0375_femur_left,GT,33.707,128.165,41.080,83.404,129.102,129.357,40.713,81.216,89.569,23.339,113.334
s0375_femur_righ,GT,33.524,128.913,44.966,87.773,129.370,137.826,47.829,89.596,92.882,26.616,116.435
s0593_femur_righ,PRED,31.898,123.771,63.212,87.387,132.485,130.341,41.220,82.924,93.942,24.926,114.570
s0614_femur_left,GT,32.311,128.458,59.167,75.867,124.158,131.852,47.880,71.091,89.664,14.835,104.831
s0593_femur_righ,GT,32.482,124.824,62.450,87.749,129.614,43.330,132.224,97.974,85.557,20.628,69.898
s0648_femur_left,PRED,31.275,139.429,63.112,83.926,122.652,151.705,62.222,85.033,99.625,24.278,112.063
s0648_femur_righ,GT,31.784,132.240,48.726,78.947,114.981,138.281,55.996,68.857,94.755,24.691,114.168
s0614_femur_left,PRED,32.360,128.582,61.143,77.578,123.875,134.376,51.008,70.180,90.203,10.754,100.752
s0664_femur_left,GT,31.554,138.075,43.206,76.288,122.608,143.019,65.639,64.034,112.194,28.343,106.712
s0648_femur_righ,PRED,31.454,132.076,48.336,78.715,112.241,142.769,57.777,73.388,88.599,25.425,64.620
s0664_femur_left,PRED,32.251,138.428,43.319,75.997,124.114,143.240,61.799,68.456,106.286,22.907,105.660
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.340,148.289,59.589,81.856,91.052,25.537,64.488
s0723_femur_righ,GT,32.533,122.493,60.160,97.961,119.145,136.865,46.879,90.893,87.071,41.230,131.079
s0723_femur_left,PRED,29.677,128.845,54.861,96.949,131.235,139.591,49.677,92.208,98.448,35.695,124.380
s0723_femur_left,GT,29.128,128.496,52.859,98.196,125.225,136.053,46.075,91.121,88.659,32.810,122.776
s0723_femur_righ,PRED,31.884,124.237,61.070,96.843,132.307,134.439,45.033,95.847,91.360,31.346,121.309
s0680_femur_left,GT,35.210,130.656,39.786,78.218,119.068,132.501,47.053,73.637,90.237,26.601,116.600
s0776_femur_righ,PRED,34.758,134.647,47.010,74.209,130.069,128.692,43.819,72.682,87.605,8.718,98.377
s0776_femur_righ,GT,35.093,132.668,47.807,75.587,124.147,133.937,48.850,72.995,86.683,9.822,99.234
s0667_femur_left,PRED,37.122,139.010,47.445,85.348,126.937,140.053,51.765,80.153,97.530,23.870,112.511
s0776_femur_left,GT,34.632,132.504,38.281,72.615,128.048,129.704,44.651,72.964,86.768,10.018,99.472
s0859_femur_left,PRED,31.468,130.501,35.732,76.351,112.967,141.780,57.960,71.439,81.498,9.077,93.154
s0859_femur_left,GT,32.806,135.330,33.358,70.419,100.589,145.221,61.707,71.497,73.016,17.752,95.014
s0859_femur_righ,PRED,29.704,128.236,35.324,73.400,125.321,133.382,54.438,64.160,91.931,3.843,93.322
s0880_femur_left,PRED,32.364,126.320,36.132,80.229,136.609,130.620,43.770,76.476,95.763,12.342,100.876
s0776_femur_left,PRED,35.762,131.374,39.175,72.487,126.582,133.606,49.704,70.995,89.248,9.148,80.884
s0880_femur_left,GT,34.136,127.144,37.599,80.230,135.233,135.401,48.331,76.946,95.966,8.202,95.607
s0859_femur_righ,GT,33.098,129.891,31.600,60.880,111.786,132.723,61.840,55.736,89.942,9.565,99.565
s0680_femur_left,PRED,36.399,128.565,42.496,80.316,110.597,143.428,54.938,80.902,84.941,46.568,43.878
s0880_femur_righ,PRED,35.666,124.482,36.778,73.431,125.868,55.524,135.008,115.062,94.051,17.931,107.437
s0880_femur_righ,GT,35.094,123.812,36.038,73.496,126.831,120.986,42.773,63.714,96.128,20.115,109.082
s0667_femur_left,GT,39.471,139.560,46.705,83.319,99.459,152.899,64.602,81.168,91.901,45.133,44.930
s1057_femur_left,PRED,29.961,148.977,34.935,88.984,121.803,154.378,64.410,91.204,96.653,14.695,103.043
s0988_femur_left,PRED,35.512,139.453,47.683,67.417,127.021,142.716,58.981,71.434,102.511,17.051,101.397
s0988_femur_left,GT,36.222,142.363,49.375,68.711,118.330,149.531,64.721,74.130,95.674,8.902,96.837
s1057_femur_righ,GT,33.795,143.370,49.134,83.009,117.491,144.609,55.180,84.445,88.158,23.016,112.934
s1099_femur_righ,PRED,31.137,125.387,63.614,94.921,116.380,145.785,56.680,96.901,90.666,51.705,141.697
s1069_femur_left,GT,32.970,131.414,41.347,72.994,122.491,137.480,52.936,72.194,90.222,10.861,100.859
s1057_femur_left,GT,32.744,154.849,37.373,86.301,107.534,162.325,72.589,92.954,90.000,16.898,106.898
s1069_femur_left,PRED,33.648,133.962,41.377,72.063,118.840,133.209,52.704,66.104,87.161,11.421,101.054
s1057_femur_righ,PRED,32.657,142.902,47.137,82.484,119.422,141.954,52.805,83.117,87.906,21.285,111.172
s1099_femur_righ,GT,31.949,124.853,64.632,96.692,111.901,146.761,56.878,87.522,85.145,52.040,38.382
s1228_femur_righ,PRED,30.738,128.363,69.026,101.782,94.707,151.576,61.583,89.399,78.328,55.671,143.192
s1149_femur_left,GT,34.026,127.147,41.585,80.906,132.057,130.712,43.991,76.192,89.239,8.144,98.108
s1228_femur_righ,GT,30.580,128.622,70.352,101.319,105.332,152.062,63.041,96.787,84.695,56.880,146.347
s1291_femur_left,PRED,30.842,123.475,61.990,97.083,128.917,131.554,41.687,92.746,88.719,34.431,124.400
s1291_femur_left,GT,31.002,123.825,60.767,99.991,127.145,133.390,43.699,94.208,88.099,36.210,126.143
s1143_femur_righ,PRED,38.068,121.211,40.252,97.564,106.952,138.219,48.363,87.140,84.993,53.366,142.912
s1149_femur_left,PRED,35.496,127.961,43.168,80.504,127.611,134.386,46.721,78.357,88.136,11.339,101.181
s1143_femur_left,GT,36.306,130.212,38.322,98.889,120.168,132.572,42.981,85.166,89.829,40.182,130.182
s1143_femur_righ,GT,38.829,119.822,41.174,100.418,109.103,136.827,46.950,87.355,86.495,53.223,143.000
s1143_femur_left,PRED,36.614,129.598,38.579,97.925,130.468,128.759,38.771,90.826,92.285,37.898,127.804
