id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,3.216,50.149,3.128,6.045,14.082,24.066,32.189,5.687,72.528
s0174_femur_left,1.942,0.956,1.878,3.373,3.155,1.637,1.326,1.230,1.278
s0104_femur_righ,0.571,6.654,18.717,101.888,77.576,4.164,7.928,4.761,4.842
s0171_femur_left,1.226,3.283,1.139,2.764,2.361,2.134,1.632,1.371,1.654
s0212_femur_left,0.298,1.603,13.899,71.161,72.836,67.205,8.981,1.986,5.462
s0104_femur_left,0.439,2.044,15.026,15.120,15.354,3.396,1.186,0.081,0.616
s0120_femur_righ,0.269,0.869,0.722,1.328,1.493,0.771,2.488,0.699,0.236
s0133_femur_left,0.821,3.562,4.369,1.710,0.582,1.657,4.625,0.923,1.025
s0133_femur_righ,0.608,1.668,1.386,0.322,0.166,0.379,0.996,1.288,1.146
s0120_femur_left,2.042,5.795,13.198,7.905,7.704,3.033,2.407,15.054,14.745
s0375_femur_righ,0.007,1.027,2.612,90.959,87.681,9.255,2.086,5.220,5.680
s0592_femur_left,1.059,2.710,0.185,4.368,1.009,8.667,6.294,5.761,7.404
s0375_femur_left,0.112,2.039,6.266,1.695,1.247,1.305,5.349,2.272,2.902
s0592_femur_righ,1.645,2.602,1.070,6.149,6.049,0.640,7.127,0.035,0.018
s0593_femur_left,1.232,6.135,8.425,0.940,0.523,2.808,11.589,5.311,3.613
s0593_femur_righ,0.584,1.349,2.871,87.011,91.004,15.050,8.385,4.298,44.672
s0614_femur_left,0.049,2.617,0.283,2.524,3.128,0.911,0.539,4.081,4.079
s0648_femur_left,0.101,1.272,10.312,3.416,2.633,3.177,8.573,1.259,47.575
s0648_femur_righ,0.330,0.483,2.740,4.488,1.781,4.531,6.156,0.734,49.548
s0664_femur_left,0.697,0.471,1.506,0.221,3.840,4.422,5.908,5.436,1.052
s0723_femur_righ,0.649,2.263,13.162,2.426,1.846,4.954,4.289,9.884,9.770
s0723_femur_left,0.549,2.384,6.010,3.538,3.602,1.087,9.789,2.885,1.604
s0680_femur_left,1.189,4.015,8.471,10.927,7.885,7.265,5.296,19.967,72.722
s0776_femur_righ,0.335,2.540,5.922,5.245,5.031,0.313,0.922,1.104,0.857
s0667_femur_left,2.349,2.229,27.478,12.846,12.837,1.015,5.629,21.263,67.581
s0776_femur_left,1.130,1.447,1.466,3.902,5.053,1.969,2.480,0.870,18.588
s0859_femur_left,1.338,8.009,12.378,3.441,3.747,0.058,8.482,8.675,1.860
s0859_femur_righ,3.394,13.167,13.535,0.659,7.402,8.424,1.989,5.722,6.243
s0880_femur_left,1.772,1.683,1.376,4.781,4.561,0.470,0.203,4.140,5.269
s0880_femur_righ,0.572,1.000,0.963,65.462,92.235,51.348,2.077,2.184,1.645
s1057_femur_left,2.783,6.901,14.269,7.947,8.179,1.750,6.653,2.203,3.855
s0988_femur_left,0.710,3.606,8.691,6.815,5.740,2.696,6.837,8.149,4.560
s1057_femur_righ,1.138,2.117,1.931,2.655,2.375,1.328,0.252,1.731,1.762
s1099_femur_righ,0.812,2.111,4.479,0.976,0.198,9.379,5.521,0.335,103.315
s1069_femur_left,0.678,2.713,3.651,4.271,0.232,6.090,3.061,0.560,0.195
s1228_femur_righ,0.158,1.428,10.625,0.486,1.458,7.388,6.367,1.209,3.155
s1149_femur_left,1.470,1.825,4.446,3.674,2.730,2.165,1.103,3.195,3.073
s1291_femur_left,0.160,3.174,1.772,1.836,2.012,1.462,0.620,1.779,1.743
s1143_femur_righ,0.761,3.305,2.151,1.392,1.413,0.215,1.502,0.143,0.088
s1143_femur_left,0.308,1.171,10.300,3.813,4.210,5.660,2.456,2.284,2.378
