id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0163,PRED,-85.796,15.989,51.446,91.204,8.989,48.446,-5.796,-50.011,52.446,19.204,-50.011,49.446,-42.796,-30.111,-19.654,44.204,-30.111,-20.654,-33.796,30.889,-44.654,29.204,34.889,-44.654
s0232,PRED,-80.778,-3.389,47.755,72.222,9.711,53.855,-7.778,-50.289,44.855,6.222,-48.289,44.855,-32.778,-34.289,-22.345,36.222,-27.289,-20.345,-27.778,28.711,-46.345,30.222,29.711,-46.345
s0139,PRED,-68.936,10.247,55.318,72.064,12.247,52.318,-6.936,-53.753,49.318,9.064,-53.753,49.318,-40.936,-32.753,-18.882,39.064,-30.753,-19.882,-32.936,30.247,-42.882,28.064,30.247,-43.882
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0029,PRED,-77.613,9.909,52.196,78.387,7.909,53.196,-6.613,-55.091,49.196,11.387,-55.091,49.196,-34.613,-30.091,-22.004,28.387,-35.091,-22.004,-28.613,32.909,-46.004,28.387,36.909,-48.004
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0040,PRED,-71.425,15.351,49.362,75.475,12.351,48.462,-6.425,-44.649,47.362,9.475,-42.649,45.462,-34.525,-31.649,-15.738,30.475,-31.649,-16.738,-29.525,28.351,-42.738,24.475,27.351,-42.738
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0082,PRED,-77.511,7.716,51.856,76.589,9.616,51.856,-10.511,-49.284,48.856,6.589,-47.384,48.856,-36.411,-33.284,-15.244,41.589,-32.284,-15.244,-32.411,27.716,-43.244,33.589,26.716,-45.244
s0049,PRED,-84.791,22.931,48.593,85.209,16.931,45.593,-18.791,-34.069,58.593,8.209,-33.969,60.493,-31.791,-34.069,-16.607,33.209,-35.069,-13.607,-20.791,19.931,-49.607,31.209,17.931,-48.607
s0182,PRED,-77.799,10.424,54.747,83.101,19.424,48.847,-4.899,-44.576,53.847,19.101,-44.576,53.847,-31.899,-31.576,-19.353,34.101,-29.576,-20.353,-31.899,26.424,-46.353,26.101,26.424,-47.353
