,ASIS_L,ASIS_R,PT_L,PT_R,PS_GT_GDIST,PS_PRED_GDIST,PS_GAP,APP
s0004,20.20,3.66,4.50,3.46,182.46,15.00,0,11.60
s0013,2.19,2.31,3.52,2.36,13.01,14.20,1,0.97
s0014,7.92,4.96,0.61,1.78,177.46,14.28,0,1.39
s0019,4.58,3.21,3.66,4.55,168.62,8.04,0,2.89
s0028,2.44,2.53,4.11,3.10,171.92,22.42,0,1.48
s0050,4.84,2.24,3.17,4.44,26.11,22.59,1,0.38
s0075,2.37,1.36,5.13,3.38,26.15,17.25,1,1.84
s0095,2.11,3.08,5.22,3.94,192.98,20.35,0,1.88
s0119,1.67,3.39,12.95,1.52,169.64,12.38,0,0.26
s0137,3.96,6.66,1.47,1.47,38.52,13.57,1,2.53
s0157,6.70,7.19,4.19,4.89,12.76,15.41,1,0.23
s0183,3.69,8.01,11.08,6.59,8.49,1.00,0,0.10
s0192,2.47,2.12,5.83,4.35,176.40,22.72,0,1.22
s0212,10.49,2.35,3.75,4.08,12.60,8.00,1,0.42
s0248,2.16,1.60,2.73,2.94,30.71,22.89,1,0.66
s0308,4.80,3.08,1.93,2.86,38.96,14.15,1,0.07
s0325,2.55,2.22,3.51,2.59,173.30,15.19,0,1.43
s0350,1.68,3.73,4.57,1.30,24.57,18.47,1,0.35
s0362,5.59,4.12,1.66,2.62,175.46,9.13,0,2.36
s0406,5.08,2.87,4.02,6.69,163.85,12.54,0,1.37
s0426,1.55,2.80,1.64,3.19,165.97,20.09,0,2.23
s0429,3.65,0.16,3.98,5.06,33.77,26.70,1,0.68
s0441,7.03,3.61,3.10,2.17,163.56,16.75,0,4.37
s0442,6.68,6.14,3.20,6.79,4.97,10.84,1,4.21
s0447,5.42,8.07,1.90,7.75,187.62,23.29,0,1.57
s0450,2.30,6.60,6.72,2.01,166.48,172.18,1,1.30
s0456,8.01,2.88,2.43,2.15,183.71,17.45,0,2.00
s0461,2.28,1.89,2.87,5.68,168.42,17.93,0,0.69
s0477,4.86,2.68,33.75,15.90,8.52,63.01,1,3.34
s0574,5.27,3.38,3.03,6.10,16.87,15.08,1,0.72
s0577,0.68,2.79,8.67,3.46,28.53,24.48,1,0.03
s0585,5.19,5.44,5.56,5.21,27.01,19.82,1,3.19
s0611,1.07,3.37,1.09,1.07,174.08,15.63,0,0.61
s0612,5.90,1.05,0.61,2.29,179.55,20.94,0,0.52
s0629,2.17,4.77,3.39,3.23,179.26,22.73,0,1.85
s0657,8.33,7.28,3.77,4.79,193.63,22.26,0,9.50
s0664,4.71,2.78,1.48,6.83,181.61,10.79,0,3.80
s0731,2.89,1.62,1.02,2.41,0.00,2.33,1,0.22
s0794,5.77,4.00,15.69,1.69,2.33,22.72,1,1.52
s0836,7.63,8.56,1.92,2.05,24.72,13.22,1,4.99
s0916,1.99,2.89,4.30,2.19,171.48,14.24,0,2.77
s0985,1.27,2.69,2.89,0.75,176.55,28.26,0,0.67
s1050,4.47,13.84,29.55,10.68,153.42,35.71,1,13.28
s1174,4.82,3.92,4.86,9.97,177.47,6.61,0,3.57
s1208,2.47,1.66,4.21,3.98,48.09,14.31,1,2.13
s1212,5.15,2.46,6.13,4.95,169.43,14.52,0,1.25
s1228,2.38,3.10,3.38,2.47,26.31,12.47,1,2.24
s1247,6.74,7.01,3.39,2.57,187.13,21.80,0,6.49
s1248,11.43,1.55,33.12,8.88,22.35,56.08,1,3.08
s1267,3.24,0.70,2.41,5.08,30.04,23.68,1,2.86
s1326,2.60,5.94,4.44,5.64,178.30,21.77,0,0.88
s1357,7.39,2.37,3.82,1.08,186.47,12.62,0,5.66
s1371,4.44,2.99,3.43,3.70,180.55,8.82,0,0.10
s1382,3.49,7.70,8.01,6.72,180.67,16.75,0,5.25
s1387,1.03,4.24,3.09,6.27,13.59,19.79,1,1.73
s1404,2.77,2.54,6.32,2.40,22.31,23.38,1,0.01
s1405,7.90,6.14,3.92,1.67,162.14,159.16,1,5.40
