id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0232,PRED,-78.115,0.897,51.342,74.885,9.897,51.342,-9.115,-43.103,47.342,11.885,-43.103,47.342,-34.115,-29.103,-22.858,34.885,-26.103,-20.858,-31.115,30.897,-47.858,28.885,33.897,-44.858
s0029,PRED,-76.772,10.700,53.555,79.228,8.700,50.555,-4.772,-51.300,48.555,7.228,-52.300,48.555,-33.772,-32.300,-22.645,31.228,-29.300,-22.645,-25.772,40.700,-46.645,26.228,36.800,-47.545
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0089,PRED,-71.666,13.749,49.381,78.334,7.749,47.381,-2.666,-45.151,47.481,14.334,-42.151,47.481,-38.666,-28.151,-17.719,36.334,-29.151,-18.719,-28.666,27.849,-45.719,13.334,18.849,-42.719
s0040,PRED,-73.593,14.931,50.185,70.407,12.931,50.185,-11.593,-45.069,47.185,9.407,-45.069,47.185,-32.593,-28.069,-20.015,33.407,-31.069,-20.015,-29.593,34.931,-41.015,30.407,34.931,-42.015
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0139,PRED,-73.474,10.852,52.938,73.526,13.852,50.938,-16.574,-52.148,44.838,15.626,-52.148,45.838,-39.474,-33.148,-18.262,39.526,-30.148,-21.262,-29.474,29.852,-42.262,32.526,33.852,-42.262
s0082,PRED,-79.499,12.594,50.496,76.401,12.594,53.396,-17.499,-46.506,47.396,7.401,-45.406,49.396,-38.499,-35.406,-17.704,41.501,-34.406,-16.704,-32.499,30.594,-44.704,36.501,30.594,-43.704
s0182,PRED,-86.451,20.057,49.714,81.549,17.057,49.714,-10.451,-41.943,52.714,9.549,-42.943,53.714,-33.451,-31.043,-20.386,35.549,-28.043,-24.386,-32.451,30.957,-47.386,29.549,33.957,-48.386
s0163,PRED,-83.079,13.683,53.698,93.921,7.683,51.698,-4.079,-50.317,53.698,22.921,-52.317,51.698,-42.079,-26.417,-19.402,44.921,-25.417,-19.402,-34.079,34.583,-46.402,31.921,34.583,-41.402
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0091,PRED,-86.025,12.943,51.182,75.075,15.943,58.082,-13.125,-40.057,53.082,7.975,-37.957,55.082,-32.025,-37.057,-22.018,36.975,-29.057,-19.018,-23.025,31.943,-50.018,27.975,31.943,-49.018
s0049,PRED,-88.313,28.102,41.773,81.687,16.102,50.773,-13.313,-33.898,57.773,6.687,-34.898,59.773,-32.313,-30.998,-17.327,35.687,-30.998,-14.327,-26.313,23.002,-49.327,33.687,21.002,-47.327
s0250,PRED,-86.570,16.453,44.833,82.430,14.453,53.833,-7.570,-40.447,49.733,14.430,-39.547,47.833,-35.570,-30.547,-25.367,30.430,-30.547,-23.367,-32.570,24.453,-41.367,21.430,27.453,-41.367
s0314,PRED,-67.519,26.765,50.847,64.381,22.765,55.747,-17.519,-37.235,55.847,5.481,-37.235,55.847,-34.519,-28.235,-20.353,37.481,-30.235,-17.353,-26.519,22.765,-50.353,34.481,26.765,-48.353
s0314,GT,-69.576,22.314,53.842,61.424,25.314,59.842,-21.576,-39.686,56.842,5.424,-39.686,59.842,-31.576,-38.786,-20.258,34.424,-40.786,-15.258,-22.576,21.214,-50.258,33.424,21.214,-48.258
s0082,GT,-72.544,4.287,53.868,73.456,7.287,53.868,-7.544,-46.713,50.868,6.456,-47.713,50.868,-36.544,-32.713,-14.332,39.456,-38.713,-14.332,-37.544,33.287,-41.332,33.456,32.287,-41.332
