id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0089,PRED,-3.422,89.132,54.326,80.578,14.032,42.226,-8.422,-43.868,51.326,14.578,-43.868,51.326,-4.422,6.132,-51.874,0.478,7.132,-52.774,0.000,0.000,0.000,0.000,0.000,0.000
s0232,PRED,-77.158,-2.325,47.784,70.842,5.775,53.884,-4.158,-50.225,43.884,6.842,-50.225,43.884,-32.158,-34.225,-23.316,36.842,-28.225,-20.316,-30.158,26.775,-45.316,33.842,23.775,-44.316
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0091,PRED,-81.838,16.906,48.585,76.162,16.906,60.585,-9.838,-43.094,57.585,4.162,-41.094,57.585,-33.838,-32.094,-22.615,36.162,-35.094,-19.615,-27.838,32.906,-49.615,27.162,31.906,-49.615
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0139,PRED,-69.191,14.072,56.767,72.809,13.072,54.767,-6.091,-51.928,49.667,14.909,-52.928,48.667,-41.191,-31.928,-20.433,39.809,-31.928,-20.433,-35.191,33.072,-43.433,31.809,33.072,-43.433
s0182,PRED,-77.845,15.551,53.919,83.155,27.551,47.919,-4.845,-43.449,53.919,19.155,-44.449,53.919,-31.845,-32.449,-19.281,35.155,-32.449,-20.281,-34.845,26.551,-47.281,26.155,29.551,-49.281
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
