,ASIS_L,ASIS_R,PT_L,PT_R,PS_GT_GDIST,PS_PRED_GDIST,PS_GAP,APP
s0029,1.87,4.60,2.30,8.01,47.20,14.13,1,0.64
s0040,4.34,2.51,1.80,3.55,153.22,17.62,0,0.82
s0049,6.02,1.31,4.54,4.47,177.28,17.39,0,1.42
s0082,2.96,3.44,3.43,2.61,11.29,16.23,1,0.04
s0089,1.84,4.53,2.38,2.25,28.71,14.38,1,0.60
s0091,3.73,3.82,2.59,3.17,174.31,13.67,0,0.77
s0139,4.99,2.16,5.80,10.79,179.00,8.12,0,2.34
s0163,4.30,4.49,3.63,3.59,40.27,19.04,1,0.72
s0182,4.45,2.00,5.36,3.93,174.40,13.00,0,2.03
s0232,9.13,5.14,3.35,1.34,39.07,15.41,1,5.79
s0250,0.53,11.63,2.65,3.47,40.82,17.98,1,0.42
s0314,1.23,6.40,2.39,3.15,168.27,15.04,0,1.18
s0341,4.33,2.92,2.74,3.65,16.96,12.57,1,0.43
s0370,4.16,3.16,2.69,4.20,173.64,13.48,0,2.03
s0383,1.27,3.69,4.82,7.58,32.23,13.23,1,4.72
s0385,6.85,6.19,4.38,18.97,37.08,42.78,1,18.77
s0399,6.43,3.27,6.48,6.01,26.93,18.20,1,0.08
s0440,5.32,6.17,3.85,2.53,11.31,14.17,1,3.12
s0468,6.13,4.60,3.19,3.94,26.15,17.02,1,3.98
s0483,2.28,3.88,1.71,7.69,38.96,18.05,1,0.90
s0505,5.60,3.28,4.31,3.47,180.89,23.10,0,0.72
s0581,3.34,4.23,5.84,3.62,15.67,18.98,1,1.34
s0592,4.78,1.40,2.34,7.50,7.88,14.52,1,0.02
s0593,2.29,2.62,3.77,3.83,18.32,13.16,1,1.17
s0600,4.81,1.51,4.72,6.59,186.88,14.45,0,1.31
s0607,1.66,3.59,3.94,3.19,32.14,13.59,1,0.22
s0624,3.19,3.54,3.19,2.76,21.20,13.48,1,0.87
s0626,1.90,4.10,1.32,4.66,20.87,17.45,1,2.93
s0636,2.57,2.25,2.69,2.79,173.24,16.97,0,1.24
s0663,2.92,2.24,4.19,3.20,183.62,13.91,0,0.73
s0668,7.02,7.00,5.17,3.67,169.69,16.17,0,0.51
s0673,6.08,1.42,7.86,8.64,1.41,15.14,1,0.94
s0680,2.50,5.82,3.54,5.15,159.45,12.87,0,0.70
s0687,3.07,2.74,10.75,4.33,26.32,1.41,0,0.92
s0726,1.97,3.33,5.15,5.55,26.31,21.91,1,2.63
s0728,2.89,6.34,2.59,4.05,170.02,17.66,0,2.13
s0737,5.27,3.41,2.89,3.41,177.51,19.06,0,1.40
s0746,2.59,2.50,3.11,2.73,177.23,17.01,0,0.26
s0763,3.37,2.10,1.28,1.12,162.88,14.33,0,1.90
s0772,5.54,2.55,11.14,2.00,44.17,4.00,0,1.42
s0774,5.60,4.03,2.99,4.59,26.81,16.09,1,0.07
s0804,0.89,3.16,8.31,10.18,172.08,35.84,1,5.13
s0842,2.60,7.43,3.29,6.75,201.46,18.08,0,1.66
s0869,3.16,4.43,5.99,2.99,183.49,10.83,0,1.88
s0924,1.30,1.65,3.64,2.03,21.11,16.21,1,1.03
s0928,3.50,4.50,4.22,5.53,191.89,12.26,0,2.97
s0931,3.36,0.89,2.44,5.73,13.02,15.30,1,2.67
s0940,3.03,4.35,6.11,4.28,22.58,12.20,1,0.66
s0963,6.12,3.69,33.74,2.22,27.36,45.07,1,7.49
s0979,2.86,1.76,3.00,2.09,179.48,12.33,0,2.07
s0986,0.43,1.98,4.70,7.12,20.28,9.85,1,3.90
s1005,4.70,3.29,4.11,6.44,13.05,14.93,1,2.32
s1008,3.70,0.79,6.09,9.48,48.48,13.34,1,1.30
s1016,6.89,5.86,2.81,2.70,20.74,15.59,1,4.32
s1044,2.64,2.22,5.49,3.22,186.71,16.14,0,0.94
s1046,2.43,1.80,4.60,5.54,184.33,14.29,0,0.48
s1069,4.39,2.30,1.28,2.02,158.56,19.10,0,1.63
s1120,3.57,7.53,3.83,4.79,32.14,12.11,1,2.42
s1322,2.96,2.35,3.90,2.80,172.58,17.95,0,2.26
s1336,4.16,3.90,6.02,7.67,180.83,16.29,0,0.59
s1339,1.95,2.29,4.15,3.74,14.11,16.98,1,3.36
s1347,0.92,2.18,1.88,1.73,175.13,16.29,0,0.75
s1348,3.39,3.24,4.11,3.05,40.31,14.40,1,0.22
s1349,7.88,14.91,3.70,5.00,41.64,14.24,1,4.08
s1373,1.94,2.06,2.70,3.29,171.15,15.05,0,0.74
s1377,2.40,1.25,2.50,4.47,41.16,14.36,1,2.88
