id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,PRED,28.158,117.587,65.207,103.439,126.490,131.530,46.482,107.082,78.144,29.352,116.426
s0174_femur_righ,GT,29.494,116.765,63.724,102.917,118.216,132.448,50.561,112.049,70.729,38.199,121.531
s0174_femur_left,PRED,28.512,126.686,51.596,94.950,120.383,144.168,54.198,91.286,89.428,30.818,120.812
s0104_femur_righ,PRED,30.880,133.259,35.260,107.054,130.855,139.227,49.621,94.731,92.388,24.776,114.646
s0104_femur_left,PRED,31.148,142.214,38.508,101.201,125.407,142.387,52.795,85.246,96.599,29.229,118.333
s0171_femur_left,PRED,30.772,124.152,45.731,84.290,131.822,124.599,35.731,82.161,84.185,19.143,108.173
s0171_femur_left,GT,31.993,125.860,49.461,86.250,135.658,132.884,43.201,85.744,93.582,17.642,107.251
s0104_femur_left,GT,30.486,142.436,36.513,100.338,123.426,150.297,60.536,86.575,100.413,30.805,118.631
s0104_femur_righ,GT,30.794,137.695,34.485,104.176,116.922,144.882,54.910,88.770,86.088,25.746,115.404
s0133_femur_left,PRED,37.113,134.864,55.725,72.128,120.292,139.874,57.349,69.361,94.273,13.405,102.681
s0133_femur_righ,GT,39.931,129.845,63.801,72.845,108.534,142.007,54.720,77.706,86.572,33.479,123.256
s0212_femur_left,PRED,35.234,130.750,58.429,66.436,129.500,128.742,52.898,60.367,101.945,14.958,98.871
s0120_femur_left,PRED,35.179,121.641,23.571,91.971,128.304,131.126,41.127,90.303,85.316,26.996,116.520
s0212_femur_left,GT,35.070,133.881,57.389,64.425,137.655,126.025,47.268,63.894,103.245,14.902,96.708
s0120_femur_righ,PRED,36.832,126.622,42.435,85.875,119.815,132.845,44.483,80.271,86.110,28.947,118.635
s0133_femur_righ,PRED,38.979,130.912,63.634,74.519,102.485,143.258,55.711,78.394,80.365,35.094,123.368
s0174_femur_left,GT,29.863,125.075,54.011,94.442,119.456,147.527,57.692,92.924,88.346,34.919,55.132
s0120_femur_righ,GT,36.770,126.423,41.708,85.370,128.789,130.636,41.088,84.932,89.952,27.601,117.601
s0120_femur_left,GT,36.371,121.620,19.866,93.490,129.180,131.299,41.436,87.212,84.605,18.978,108.138
s0133_femur_left,GT,37.782,132.359,53.889,69.880,123.817,137.027,56.184,66.821,82.427,14.002,78.292
s0592_femur_left,PRED,29.601,128.960,74.703,74.320,127.699,134.935,50.251,72.316,89.931,4.704,94.704
s0592_femur_righ,PRED,30.035,131.014,70.295,74.420,128.991,133.684,47.430,75.193,92.944,14.308,103.990
s0593_femur_left,GT,32.109,119.719,70.755,88.389,134.729,124.703,35.244,84.597,87.540,21.114,110.957
s0375_femur_righ,GT,33.524,128.914,44.966,87.773,129.364,137.823,47.826,89.581,92.883,26.618,116.437
s0375_femur_righ,PRED,33.132,127.885,44.458,86.971,129.531,136.055,46.521,84.827,91.822,20.406,110.317
s0592_femur_righ,GT,31.154,130.371,72.886,75.393,121.158,144.947,57.897,77.421,93.469,13.465,102.994
s0375_femur_left,PRED,33.688,126.213,42.031,82.796,130.165,131.442,43.470,79.177,95.444,24.786,114.102
s0593_femur_left,PRED,31.423,121.070,72.149,91.555,127.839,128.814,40.722,79.575,93.112,28.591,118.390
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.634,134.402,53.547,66.625,92.754,9.849,99.449
s0593_femur_righ,PRED,32.007,123.624,63.172,87.444,133.144,131.747,42.900,81.862,97.214,25.840,114.669
s0593_femur_righ,GT,32.481,124.824,62.450,87.750,129.619,136.666,47.772,82.023,94.444,20.625,110.097
s0614_femur_left,GT,32.312,128.451,59.170,75.874,124.188,131.749,48.438,70.044,90.228,14.223,104.221
s0614_femur_left,PRED,32.292,127.850,61.467,77.512,126.507,131.221,47.491,70.706,86.480,7.063,96.116
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.343,148.283,59.586,81.850,88.951,25.538,115.513
s0648_femur_righ,PRED,31.656,132.653,49.051,78.859,121.652,139.668,52.332,77.688,95.918,27.488,116.737
s0648_femur_left,PRED,31.890,140.156,62.121,83.443,125.830,150.236,60.239,89.666,99.393,26.019,114.028
s0648_femur_righ,GT,31.784,132.240,48.726,78.947,114.985,138.277,55.993,68.855,94.755,24.688,114.165
s0375_femur_left,GT,33.707,128.165,41.079,83.405,129.109,129.357,40.713,81.217,90.417,23.347,66.657
s0664_femur_left,GT,31.555,138.074,43.206,76.289,122.620,143.022,65.636,64.040,112.198,28.342,106.706
s0723_femur_righ,GT,32.531,122.502,60.149,97.956,118.562,137.176,47.187,90.785,86.769,41.315,131.132
s0664_femur_left,PRED,33.594,136.685,42.516,79.655,127.380,143.735,59.703,72.011,110.938,30.901,111.644
s0723_femur_left,GT,28.965,128.688,52.331,98.036,125.970,137.439,47.584,92.878,90.203,34.428,124.427
