id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,1.336,1.774,8.274,8.274,8.274,8.274,8.274,8.274,8.274
s0174_femur_left,1.351,2.947,0.927,0.927,0.927,0.927,0.927,0.927,0.927
s0104_femur_righ,0.086,5.344,13.933,13.933,13.933,13.933,13.933,13.933,13.933
s0104_femur_left,0.662,2.185,1.981,1.981,1.981,1.981,1.981,1.981,1.981
s0171_femur_left,1.221,4.547,3.836,3.836,3.836,3.836,3.836,3.836,3.836
s0133_femur_left,0.669,3.834,3.525,3.525,3.525,3.525,3.525,3.525,3.525
s0133_femur_righ,0.952,1.992,6.049,6.049,6.049,6.049,6.049,6.049,6.049
s0212_femur_left,0.164,3.864,8.155,8.155,8.155,8.155,8.155,8.155,8.155
s0120_femur_left,1.192,4.004,0.876,0.876,0.876,0.876,0.876,0.876,0.876
s0120_femur_righ,0.062,0.907,8.974,8.974,8.974,8.974,8.974,8.974,8.974
s0592_femur_left,0.984,1.462,4.065,4.065,4.065,4.065,4.065,4.065,4.065
s0592_femur_righ,1.119,2.841,7.833,7.833,7.833,7.833,7.833,7.833,7.833
s0593_femur_left,0.686,3.714,6.890,6.890,6.890,6.890,6.890,6.890,6.890
s0375_femur_righ,0.392,1.400,0.167,0.167,0.167,0.167,0.167,0.167,0.167
s0375_femur_left,0.019,2.256,1.056,1.056,1.056,1.056,1.056,1.056,1.056
s0593_femur_righ,0.474,1.433,3.525,3.525,3.525,3.525,3.525,3.525,3.525
s0614_femur_left,0.020,2.885,2.319,2.319,2.319,2.319,2.319,2.319,2.319
s0648_femur_left,0.514,1.033,13.487,13.487,13.487,13.487,13.487,13.487,13.487
s0648_femur_righ,0.128,0.533,6.667,6.667,6.667,6.667,6.667,6.667,6.667
s0664_femur_left,2.039,3.706,4.760,4.760,4.760,4.760,4.760,4.760,4.760
s0723_femur_righ,1.754,1.235,8.624,8.624,8.624,8.624,8.624,8.624,8.624
s0723_femur_left,0.378,1.490,4.279,4.279,4.279,4.279,4.279,4.279,4.279
s0667_femur_left,1.711,2.818,11.443,11.443,11.443,11.443,11.443,11.443,11.443
s0680_femur_left,0.680,5.359,18.894,18.894,18.894,18.894,18.894,18.894,18.894
s0776_femur_righ,0.138,2.216,5.357,5.357,5.357,5.357,5.357,5.357,5.357
s0776_femur_left,0.926,3.183,0.662,0.662,0.662,0.662,0.662,0.662,0.662
s0859_femur_left,2.047,13.224,7.804,7.804,7.804,7.804,7.804,7.804,7.804
s0880_femur_left,3.377,2.965,2.457,2.457,2.457,2.457,2.457,2.457,2.457
s0859_femur_righ,6.574,17.739,3.973,3.973,3.973,3.973,3.973,3.973,3.973
s0880_femur_righ,0.979,0.904,6.672,6.672,6.672,6.672,6.672,6.672,6.672
s1099_femur_righ,0.778,2.099,6.045,6.045,6.045,6.045,6.045,6.045,6.045
s1069_femur_left,0.694,2.794,16.065,16.065,16.065,16.065,16.065,16.065,16.065
s0988_femur_left,1.839,3.382,2.629,2.629,2.629,2.629,2.629,2.629,2.629
s1057_femur_left,2.629,5.552,3.464,3.464,3.464,3.464,3.464,3.464,3.464
s1057_femur_righ,1.003,2.576,3.829,3.829,3.829,3.829,3.829,3.829,3.829
s1143_femur_righ,1.346,4.392,1.396,1.396,1.396,1.396,1.396,1.396,1.396
s1149_femur_left,0.639,1.876,6.751,6.751,6.751,6.751,6.751,6.751,6.751
s1143_femur_left,0.376,1.419,13.014,13.014,13.014,13.014,13.014,13.014,13.014
s1228_femur_righ,0.306,2.782,4.655,4.655,4.655,4.655,4.655,4.655,4.655
s1291_femur_left,0.391,2.228,5.364,5.364,5.364,5.364,5.364,5.364,5.364
