id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,0.548,10.834,15.063,6.725,13.358,13.022,14.458,2.013,4.226
s0174_femur_left,0.714,1.961,5.273,6.828,6.984,2.166,0.125,3.210,3.220
s0104_femur_left,0.082,4.811,3.828,113.562,65.151,11.005,9.469,6.891,4.743
s0171_femur_left,0.507,2.892,3.442,0.086,1.288,5.107,1.733,3.482,3.131
s0212_femur_left,0.696,2.309,5.764,73.106,80.748,56.577,1.787,1.965,0.781
s0120_femur_righ,0.381,2.523,8.245,88.246,89.429,15.849,0.250,4.521,4.519
s0133_femur_left,0.817,1.411,0.428,88.345,71.747,48.662,3.326,1.312,3.387
s0104_femur_righ,1.288,8.679,4.385,0.929,0.962,0.556,6.529,2.048,2.244
s0120_femur_left,0.165,4.701,5.105,2.226,1.009,5.760,2.529,2.858,2.371
s0133_femur_righ,2.161,3.366,21.260,10.033,4.850,9.455,2.621,22.046,42.921
s0592_femur_left,0.197,2.894,4.665,0.062,2.147,3.095,4.257,6.039,12.949
s0593_femur_left,0.192,1.522,2.482,0.865,1.795,3.603,11.560,6.190,4.551
s0375_femur_righ,0.427,1.690,2.560,0.411,0.236,2.128,2.065,0.894,0.673
s0592_femur_righ,0.664,2.213,3.160,10.545,4.328,10.825,1.928,6.796,6.507
s0375_femur_left,0.098,0.765,2.463,0.034,0.225,0.607,4.567,2.749,48.876
s0593_femur_righ,0.627,1.310,0.145,6.065,6.633,2.446,3.345,6.398,6.900
s0614_femur_left,0.251,2.591,7.269,6.596,8.038,3.208,2.988,1.911,3.913
s0648_femur_righ,0.080,1.493,6.798,2.182,1.853,6.712,0.199,4.415,4.455
s0648_femur_left,0.600,0.824,0.328,6.520,5.444,4.991,4.240,7.399,7.230
s0664_femur_left,1.420,2.187,1.828,6.252,0.549,7.715,45.763,9.997,45.029
s0723_femur_righ,0.553,2.150,12.492,3.158,2.668,4.481,5.149,5.700,5.642
s0723_femur_left,0.414,2.064,8.464,1.925,2.548,13.092,2.838,1.109,0.821
s0667_femur_left,1.542,2.008,27.972,15.593,16.449,1.860,4.289,23.736,23.821
s0680_femur_left,1.202,2.291,15.033,16.527,12.613,8.883,3.413,26.424,26.097
s0776_femur_left,0.108,0.378,5.517,5.025,7.095,3.356,2.812,3.938,8.843
s0776_femur_righ,0.066,1.580,2.217,1.531,0.636,4.377,11.542,0.634,15.641
s0859_femur_left,0.611,6.017,15.160,2.735,4.428,2.216,23.310,10.745,8.016
s0880_femur_left,0.081,5.805,18.391,0.499,7.390,11.072,6.178,5.091,7.682
s0859_femur_righ,2.863,13.756,0.979,0.028,3.776,3.583,8.204,0.271,5.340
s0880_femur_righ,0.554,3.710,5.047,1.902,0.262,2.846,1.504,6.506,6.311
s1069_femur_left,1.077,0.725,7.079,6.569,6.081,1.140,1.865,0.625,0.378
s1099_femur_righ,0.330,3.298,1.667,3.257,3.346,3.697,7.329,6.935,6.620
s1057_femur_righ,0.455,2.250,1.749,1.245,3.496,6.662,0.567,8.892,8.870
s1057_femur_left,0.038,4.939,2.029,5.028,5.197,4.937,1.994,3.938,4.098
s0988_femur_left,1.015,2.685,4.807,10.369,3.902,10.051,3.626,4.229,6.539
s1149_femur_left,0.902,4.589,2.241,84.416,91.677,20.055,3.503,1.345,15.731
s1143_femur_left,0.043,4.352,28.607,9.956,11.631,5.908,2.091,26.466,26.344
s1228_femur_righ,0.331,2.161,2.595,1.823,2.676,4.289,1.068,3.157,3.330
s1143_femur_righ,0.881,6.862,11.782,7.576,8.188,3.031,2.552,14.440,120.649
s1291_femur_left,0.408,4.434,16.149,10.386,10.462,0.372,0.500,21.784,21.812
