id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.494,116.762,63.723,102.916,118.213,132.444,50.560,112.054,70.721,38.193,121.518
s0174_femur_righ,PRED,30.682,121.936,65.630,106.262,128.642,126.887,41.126,105.598,76.728,33.788,120.432
s0174_femur_left,GT,29.863,125.074,54.010,94.442,119.455,147.527,57.692,92.926,91.652,34.919,124.868
s0171_femur_left,GT,31.993,125.860,49.461,86.250,135.657,132.887,43.203,85.745,93.582,17.641,107.250
s0174_femur_left,PRED,31.499,130.909,52.996,95.409,120.946,142.928,53.176,93.693,90.102,37.846,127.845
s0104_femur_righ,GT,30.794,137.694,34.486,104.176,116.928,144.887,54.914,88.785,86.090,25.746,115.404
s0104_femur_righ,PRED,35.072,137.423,35.625,110.599,129.547,139.973,51.236,98.454,91.185,28.314,118.285
s0171_femur_left,PRED,32.688,122.759,44.831,88.966,131.320,130.513,40.730,86.493,88.150,21.754,111.668
s0104_femur_left,PRED,33.680,143.979,37.568,101.995,103.234,143.277,67.341,62.786,94.204,23.883,113.465
s0104_femur_left,GT,30.487,142.437,36.512,100.338,123.387,150.343,60.579,86.593,100.399,30.805,118.637
s0212_femur_left,GT,35.070,133.881,57.389,64.425,131.903,121.385,50.475,55.320,103.245,14.902,96.707
s0133_femur_left,GT,37.783,132.358,53.890,69.881,123.821,137.025,56.181,66.822,97.573,14.003,101.708
s0120_femur_left,PRED,33.726,128.815,24.554,93.260,115.843,144.524,54.748,86.519,85.928,25.770,115.399
s0133_femur_left,PRED,37.522,137.720,57.783,69.498,130.355,134.760,53.180,67.616,100.038,13.403,98.789
s0120_femur_righ,PRED,37.587,127.342,42.598,88.119,128.187,131.541,42.080,84.454,92.752,31.031,120.882
s0120_femur_righ,GT,36.894,126.367,41.989,85.391,121.082,132.520,43.121,84.131,84.168,29.637,118.943
s0133_femur_righ,GT,39.931,129.845,63.801,72.845,108.532,142.008,54.721,77.707,86.571,33.480,123.257
s0120_femur_left,GT,36.398,121.572,19.868,93.502,131.513,129.888,40.092,86.612,85.932,18.292,107.803
s0212_femur_left,PRED,35.111,134.046,60.233,66.539,129.784,137.637,56.172,67.689,100.497,12.080,95.911
s0133_femur_righ,PRED,38.393,132.505,64.352,72.787,113.102,140.848,52.299,80.968,86.773,31.986,121.784
s0593_femur_left,GT,32.111,119.718,70.755,88.388,134.719,55.295,144.760,95.376,87.484,21.082,110.917
s0592_femur_righ,PRED,30.644,131.329,69.677,75.906,130.266,140.035,52.141,79.075,93.414,4.753,93.303
s0375_femur_righ,GT,33.524,128.914,44.966,87.773,129.372,42.178,132.175,90.402,92.881,26.619,116.438
s0375_femur_righ,PRED,35.416,127.039,43.403,86.745,129.011,130.561,41.519,82.607,91.003,25.807,115.785
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.636,134.402,53.545,66.627,92.753,9.849,99.449
s0592_femur_left,PRED,30.382,130.021,72.401,75.317,129.595,137.271,48.731,80.841,92.423,13.228,102.997
s0592_femur_righ,GT,31.155,130.371,72.887,75.394,121.162,144.946,57.895,77.423,93.471,13.467,102.995
s0375_femur_left,GT,33.707,128.166,41.079,83.404,129.095,129.363,40.719,81.220,89.567,23.345,113.340
s0593_femur_left,PRED,31.083,118.939,71.984,90.097,133.109,127.326,37.376,88.329,93.048,32.937,122.759
s0375_femur_left,PRED,35.427,126.997,41.917,83.222,132.864,125.837,38.505,77.776,92.265,20.765,110.629
s0593_femur_righ,GT,32.482,124.824,62.450,87.749,129.615,136.669,47.775,82.026,94.443,20.628,110.101
s0593_femur_righ,PRED,31.608,125.898,63.660,88.666,129.886,135.446,45.862,85.111,92.956,23.566,113.358
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.340,148.287,59.589,81.853,88.948,25.537,115.512
s0614_femur_left,GT,32.311,128.459,59.168,75.867,124.164,131.847,47.874,71.093,89.662,14.832,104.828
s0614_femur_left,PRED,34.161,127.021,61.571,77.570,134.934,129.881,43.553,75.391,92.603,9.136,98.751
s0648_femur_righ,PRED,32.733,134.305,49.118,79.344,120.411,139.763,52.328,77.924,93.135,25.224,115.001
s0664_femur_left,PRED,33.876,137.057,42.354,72.717,127.126,47.806,126.666,116.011,110.715,29.738,110.351
s0648_femur_righ,GT,31.783,132.239,48.729,78.948,114.983,138.278,55.995,68.854,94.755,24.687,114.164
s0664_femur_left,GT,31.555,138.075,43.206,76.288,122.620,143.023,65.635,64.041,112.198,28.344,106.709
s0723_femur_righ,GT,32.532,122.494,60.159,97.961,119.158,136.858,46.872,90.896,87.078,41.229,131.079
s0648_femur_left,PRED,32.876,139.105,62.413,83.871,120.192,149.175,59.487,86.034,85.264,24.896,65.619
s0723_femur_left,GT,29.124,128.524,52.874,98.204,122.375,134.295,44.363,88.030,86.002,32.572,122.264
s0723_femur_left,PRED,31.813,129.236,54.720,95.173,123.986,141.251,51.260,89.313,94.145,35.490,125.173
s0680_femur_left,PRED,37.685,130.239,42.922,81.998,135.275,126.707,39.271,77.974,98.565,24.756,113.040
s0667_femur_left,PRED,38.532,139.823,49.833,86.070,119.627,146.011,56.063,91.660,96.330,46.818,136.120
s0680_femur_left,GT,35.210,130.656,39.787,78.218,119.069,132.502,47.053,73.639,90.237,26.602,116.601
s0776_femur_left,GT,34.632,132.505,38.281,72.616,128.042,129.705,44.656,72.958,86.766,10.016,99.469
s0776_femur_righ,PRED,36.140,132.723,45.080,79.137,130.416,132.584,45.121,77.860,89.276,10.273,100.246
s0776_femur_righ,GT,35.093,132.669,47.805,75.587,124.151,133.938,48.847,73.002,86.684,9.822,99.234
s0667_femur_left,GT,39.470,139.560,46.704,83.318,99.459,152.901,64.603,81.169,88.098,45.131,135.068
s0723_femur_righ,PRED,33.038,127.278,57.996,96.914,127.482,135.828,45.875,91.647,85.705,39.580,50.748
s0859_femur_righ,PRED,29.626,136.033,31.025,81.044,111.807,145.775,58.999,76.940,84.845,14.511,103.527
s0880_femur_left,GT,34.136,127.144,37.599,80.229,135.228,135.404,48.334,76.946,95.965,8.202,95.609
s0859_femur_left,PRED,29.773,132.644,34.461,82.244,116.883,144.021,54.754,83.684,82.992,10.874,98.272
s0776_femur_left,PRED,35.654,130.621,39.176,80.996,128.693,44.880,134.063,96.856,92.705,11.451,78.881
s0859_femur_left,GT,32.806,135.330,33.358,70.419,100.585,145.225,61.711,71.497,73.017,17.751,95.014
s0880_femur_left,PRED,34.619,142.399,36.540,90.281,116.739,140.205,64.203,62.009,97.701,12.341,99.585
s0880_femur_righ,GT,35.094,123.812,36.038,73.496,126.827,120.986,42.776,63.710,96.128,20.115,109.082
s1057_femur_left,PRED,33.283,147.226,31.383,84.504,103.669,161.760,74.820,80.127,90.001,7.764,97.764
s1099_femur_righ,PRED,33.384,126.238,65.965,95.499,118.059,143.417,53.523,92.410,92.807,47.711,137.573
s0859_femur_righ,GT,33.098,129.893,31.600,60.877,111.751,132.740,61.858,55.738,90.075,9.575,80.426
s0880_femur_righ,PRED,37.702,128.336,36.289,77.648,129.336,128.338,49.220,64.260,99.622,16.202,102.910
s0988_femur_left,PRED,35.797,142.915,39.039,69.369,115.690,140.388,58.953,67.984,90.613,12.164,102.149
s1069_femur_left,GT,32.887,131.521,41.403,72.992,128.281,133.306,50.016,70.030,91.838,7.015,96.768
s1057_femur_righ,GT,33.794,143.372,49.133,83.008,117.489,144.610,55.180,84.451,88.151,23.015,112.932
s1099_femur_righ,GT,31.949,124.853,64.633,96.693,111.909,146.764,56.880,87.532,94.855,52.039,141.617
s0988_femur_left,GT,36.222,142.362,49.375,68.710,118.336,149.530,64.719,74.133,95.676,8.900,96.833
s1057_femur_righ,PRED,35.447,143.133,43.512,83.374,120.675,148.538,58.835,86.108,92.795,18.725,108.500
s1069_femur_left,PRED,34.309,130.670,42.858,72.635,125.167,133.182,50.955,68.452,93.895,13.612,103.023
s1057_femur_left,GT,32.743,154.851,37.374,86.302,107.536,162.321,72.586,92.956,89.998,16.897,106.897
s1228_femur_righ,PRED,32.044,130.622,68.113,100.441,101.634,152.760,63.723,96.676,81.955,59.041,147.784
s1228_femur_righ,GT,30.579,128.623,70.352,101.321,105.331,152.063,63.041,96.786,84.692,56.871,146.338
s1143_femur_righ,PRED,38.934,120.030,39.355,98.858,94.481,142.614,54.275,80.413,86.582,62.183,151.937
s1149_femur_left,PRED,37.294,124.248,41.386,84.365,130.953,126.871,39.132,78.719,85.940,15.380,104.808
s1143_femur_righ,GT,38.830,119.824,41.175,100.420,109.270,133.974,44.257,85.972,86.483,53.231,143.006
s1143_femur_left,PRED,36.794,130.544,36.811,95.055,121.044,134.883,44.937,88.243,90.138,41.016,131.016
s1149_femur_left,GT,33.912,127.487,40.509,80.817,131.468,131.206,43.981,77.311,88.326,8.218,98.044
s1291_femur_left,PRED,31.849,125.223,61.184,96.598,102.849,145.687,55.687,89.856,86.150,60.215,149.916
s1291_femur_left,GT,31.002,123.825,60.767,99.991,127.143,133.390,43.699,94.205,88.098,36.209,126.143
s1143_femur_left,GT,36.306,130.212,38.322,98.889,120.166,132.574,42.983,85.166,90.172,40.182,49.818
