id,gt_or_pred,fhr,fhc_x,fhc_y,fhc_z,nsa,fna_x,fna_y,fna_z,fda_x,fda_y,fda_z
s0174_femur_righ,GT,29.494,116.763,63.723,102.916,118.216,132.443,50.564,112.060,70.723,38.197,121.525
s0174_femur_left,GT,29.864,125.075,54.012,94.442,119.455,147.528,57.693,92.924,91.653,34.920,124.869
s0104_femur_righ,PRED,30.794,133.216,35.233,107.718,125.402,40.756,130.638,87.409,88.427,27.151,117.098
s0174_femur_righ,PRED,28.219,116.571,67.791,104.068,117.907,138.955,52.734,104.717,77.293,33.275,120.175
s0171_femur_left,GT,31.992,125.864,49.461,86.249,135.663,132.884,43.200,85.743,93.586,17.642,107.250
s0104_femur_righ,GT,30.793,137.694,34.486,104.176,124.828,136.184,46.187,89.566,86.090,25.747,115.405
s0171_femur_left,PRED,30.614,122.418,46.543,86.008,136.760,125.866,36.312,85.057,88.842,17.906,107.866
s0104_femur_left,GT,30.487,142.437,36.512,100.338,123.391,150.339,60.574,86.593,100.399,30.805,118.636
s0133_femur_left,PRED,36.335,133.460,54.941,72.242,117.339,138.159,57.856,66.274,91.865,12.314,102.167
s0212_femur_left,GT,35.069,133.882,57.389,64.425,137.652,126.025,47.270,63.891,103.244,14.901,96.707
s0104_femur_left,PRED,29.846,140.432,38.854,102.994,124.627,140.381,51.001,84.087,94.857,28.743,118.253
s0120_femur_left,PRED,34.880,121.425,24.321,92.943,128.764,134.092,44.156,91.909,85.555,21.353,110.841
s0120_femur_left,GT,36.383,121.609,19.824,93.471,131.053,129.862,40.103,86.304,86.418,20.050,109.701
s0212_femur_left,PRED,34.940,130.109,58.802,66.682,124.800,127.176,56.452,54.972,100.161,12.683,97.511
s0133_femur_righ,PRED,39.260,129.890,64.597,73.841,102.067,142.662,56.210,75.996,82.696,36.101,125.123
s0174_femur_left,PRED,29.093,125.149,57.043,95.856,124.598,144.514,55.919,98.718,88.216,35.958,54.101
s0120_femur_righ,GT,36.894,126.368,41.988,85.391,121.081,132.521,43.121,84.131,84.168,29.638,118.945
s0133_femur_left,GT,37.782,132.359,53.889,69.880,123.818,137.028,56.184,66.822,97.573,14.002,101.708
s0120_femur_righ,PRED,36.461,126.766,41.137,85.459,121.259,135.822,46.243,85.087,87.322,30.528,120.385
s0133_femur_righ,GT,39.931,129.843,63.801,72.846,108.531,142.007,54.721,77.706,93.428,33.483,56.740
s0592_femur_left,PRED,29.723,129.663,75.363,74.874,131.553,46.802,133.698,103.456,90.801,7.676,97.633
s0375_femur_left,GT,33.707,128.165,41.080,83.404,129.097,129.363,40.718,81.218,89.568,23.342,113.337
s0592_femur_righ,PRED,29.771,130.163,71.811,75.821,124.434,138.342,52.284,74.933,92.990,14.795,104.476
s0593_femur_left,PRED,31.785,119.684,71.947,90.317,135.280,122.129,33.527,81.423,89.001,21.653,111.628
s0375_femur_left,PRED,33.653,126.154,41.232,82.537,132.386,130.135,41.357,81.649,92.447,21.347,111.192
s0593_femur_left,GT,32.109,119.719,70.755,88.389,134.728,124.705,35.245,84.600,87.538,21.115,110.958
s0593_femur_righ,GT,32.482,124.825,62.449,87.750,129.610,136.667,47.771,82.034,94.434,20.636,110.111
s0592_femur_righ,GT,31.154,130.371,72.886,75.393,121.159,144.948,57.896,77.425,93.469,13.467,102.996
s0592_femur_left,GT,30.585,129.509,74.658,72.966,123.637,134.402,53.545,66.628,92.755,9.851,99.450
s0375_femur_righ,PRED,33.224,127.025,43.460,85.938,127.774,138.057,49.347,81.407,93.951,20.131,109.706
s0614_femur_left,PRED,32.413,126.684,62.213,76.899,130.484,131.415,44.558,76.474,90.241,12.288,102.285
s0648_femur_righ,GT,31.784,132.240,48.726,78.947,114.985,138.276,55.994,68.853,94.758,24.688,114.164
s0593_femur_righ,PRED,31.651,124.429,62.532,86.657,131.533,132.600,43.464,82.957,90.490,17.172,107.165
s0375_femur_righ,GT,33.524,128.913,44.966,87.773,129.372,137.823,47.826,89.597,92.881,26.617,116.436
s0614_femur_left,GT,32.311,128.444,59.160,75.875,124.110,131.786,48.354,70.232,89.722,13.878,103.875
s0648_femur_left,GT,31.376,140.424,62.463,84.380,112.341,148.286,59.587,81.854,88.948,25.537,115.512
s0648_femur_left,PRED,30.829,139.262,62.100,84.119,120.841,152.598,62.689,87.938,97.086,24.530,113.355
s0648_femur_righ,PRED,31.127,130.848,48.318,78.751,121.501,144.264,55.857,80.705,96.156,26.049,115.204
s0664_femur_left,GT,31.554,138.075,43.206,76.288,122.603,143.019,65.640,64.031,112.192,28.342,106.713
s0723_femur_righ,PRED,30.729,123.608,60.950,98.045,129.504,43.172,132.715,84.880,90.053,29.250,119.250
s0723_femur_left,GT,29.125,128.516,52.880,98.205,124.244,135.496,45.496,90.148,87.275,31.873,121.729
s0723_femur_left,PRED,29.191,126.841,55.004,98.767,123.116,143.297,53.300,89.567,94.823,36.027,125.600
s0723_femur_righ,GT,32.533,122.493,60.160,97.962,119.179,136.846,46.860,90.899,87.088,41.224,131.075
s0667_femur_left,PRED,37.369,135.578,46.411,84.924,117.290,142.173,53.906,80.185,91.291,27.936,117.901
s0667_femur_left,GT,39.470,139.561,46.703,83.318,99.455,152.901,64.603,81.168,88.095,45.133,135.069
s0664_femur_left,PRED,31.722,136.107,44.014,76.807,125.238,144.768,61.801,70.675,111.543,31.755,112.149
s0680_femur_left,GT,35.210,130.654,39.787,78.218,119.067,132.499,47.054,73.633,90.239,26.603,116.601
s0776_femur_left,PRED,35.099,130.601,38.506,74.191,127.493,131.954,45.431,75.751,86.512,10.262,99.639
s0680_femur_left,PRED,36.059,128.690,41.571,79.534,98.461,142.430,56.810,74.425,88.443,47.826,137.783
s0776_femur_left,GT,34.628,132.519,38.279,72.606,125.116,136.543,48.775,78.644,86.646,9.841,99.241
s0776_femur_righ,GT,35.093,132.669,47.805,75.587,124.146,133.940,48.852,72.995,86.685,9.823,99.236
s0776_femur_righ,PRED,34.412,131.424,46.244,75.704,133.993,127.770,40.141,78.395,85.667,6.782,95.208
s0859_femur_left,GT,32.806,135.330,33.358,70.418,100.588,145.224,61.708,71.500,73.017,17.752,95.015
s0859_femur_left,PRED,33.368,132.859,37.493,76.537,100.173,141.898,63.405,64.869,73.099,17.183,93.010
s0880_femur_left,GT,33.859,127.635,36.930,79.863,131.451,136.869,49.851,76.862,95.562,11.650,100.203
s0880_femur_left,PRED,36.878,126.812,36.879,87.263,140.989,122.934,38.191,72.876,92.906,6.727,96.061
s0859_femur_righ,GT,33.098,129.891,31.600,60.880,111.787,132.722,61.839,55.736,89.942,9.565,99.565
s0859_femur_righ,PRED,30.284,129.966,38.192,81.110,120.228,138.883,57.617,67.569,92.570,9.256,98.886
s0880_femur_righ,GT,35.094,123.813,36.037,73.496,126.832,120.992,42.776,63.717,96.126,20.111,109.079
s0880_femur_righ,PRED,35.075,122.986,35.455,73.828,129.624,122.836,42.915,65.679,92.092,13.421,103.251
s1099_femur_righ,PRED,31.490,123.885,64.238,96.065,110.747,149.305,60.099,96.310,86.769,50.310,140.125
s1099_femur_righ,GT,31.949,124.853,64.632,96.692,111.897,146.763,56.880,87.521,94.855,52.044,141.621
s1069_femur_left,PRED,33.496,132.449,39.705,70.835,120.831,138.583,51.668,76.696,86.720,12.822,102.382
s1057_femur_righ,GT,33.794,143.368,49.133,83.011,117.493,144.603,55.178,84.424,88.171,23.026,112.945
s1057_femur_righ,PRED,32.692,141.907,47.308,83.354,118.352,144.917,55.854,82.897,89.997,21.854,111.854
s1069_femur_left,GT,32.887,131.521,41.403,72.992,128.282,133.306,50.015,70.031,91.838,7.015,96.767
s1057_femur_left,PRED,30.560,148.213,33.270,87.576,119.312,151.992,61.993,89.701,92.211,13.445,103.256
s0988_femur_left,GT,36.222,142.365,49.375,68.709,118.345,149.531,64.716,74.137,95.681,8.899,96.827
s1057_femur_left,GT,32.744,154.849,37.373,86.301,108.888,161.113,71.957,95.399,90.001,16.898,106.898
s1149_femur_left,GT,34.025,127.146,41.589,80.907,132.013,130.750,44.035,76.179,89.237,8.142,98.106
s0988_femur_left,PRED,35.955,138.747,47.875,68.573,117.736,147.689,64.193,71.933,94.477,7.465,95.962
s1149_femur_left,PRED,36.814,127.167,43.048,82.351,118.944,136.645,48.102,80.840,79.219,14.510,99.595
s1291_femur_left,GT,31.002,123.825,60.767,99.991,127.146,133.389,43.698,94.208,88.098,36.207,126.141
s1228_femur_righ,PRED,31.275,128.155,70.782,100.750,104.771,152.028,62.479,94.620,86.728,59.243,149.031
s1291_femur_left,PRED,30.869,120.897,63.207,97.892,135.828,131.145,41.285,92.824,96.244,34.645,123.917
s1143_femur_left,GT,36.306,130.213,38.323,98.889,120.163,132.574,42.983,85.164,89.829,40.185,130.185
s1228_femur_righ,GT,30.581,128.623,70.352,101.318,105.321,152.075,63.055,96.794,95.312,56.887,33.647
s1143_femur_righ,GT,38.829,119.822,41.174,100.418,109.290,133.952,44.235,85.969,86.493,53.225,143.001
s1143_femur_left,PRED,36.479,129.979,38.989,100.034,126.834,137.059,47.418,94.538,87.542,40.150,49.957
s1143_femur_righ,PRED,38.119,120.080,41.877,99.936,111.572,137.812,47.817,89.420,91.380,54.104,35.931
