id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,1.275,4.232,0.309,6.512,2.170,7.343,6.570,4.922,1.350
s0174_femur_left,0.771,3.345,5.143,3.014,1.774,5.794,3.437,1.038,70.768
s0104_femur_righ,0.001,5.758,0.574,95.428,84.451,2.157,2.337,1.404,1.693
s0171_femur_left,1.378,4.522,1.097,7.018,6.888,0.686,4.744,0.264,0.616
s0104_femur_left,0.641,4.069,1.236,9.958,9.573,2.506,5.542,2.062,0.383
s0133_femur_left,1.447,2.810,6.479,1.131,1.672,0.548,5.708,1.688,0.459
s0212_femur_left,0.129,4.618,12.852,1.151,9.182,8.919,3.083,2.218,0.804
s0120_femur_left,1.503,4.532,2.289,4.230,4.053,5.605,0.863,1.303,1.140
s0133_femur_righ,0.671,1.275,6.464,0.655,1.489,1.710,10.732,2.618,68.383
s0120_femur_righ,0.433,0.942,0.178,3.301,3.122,0.956,3.154,0.890,1.440
s0592_femur_left,0.862,2.040,7.916,87.600,80.153,36.828,1.954,2.175,1.817
s0375_femur_left,0.054,2.195,3.289,0.772,0.639,0.431,2.879,1.995,2.145
s0592_femur_righ,1.383,1.176,3.275,6.606,5.612,2.492,0.479,1.328,1.480
s0593_femur_left,0.324,2.267,0.552,2.576,1.718,3.177,1.463,0.538,0.670
s0593_femur_righ,0.831,1.165,1.923,4.067,4.307,0.923,3.944,3.464,2.946
s0375_femur_righ,0.300,3.033,1.598,0.234,1.521,8.190,1.070,6.486,6.730
s0614_femur_left,0.102,3.670,6.374,0.371,3.796,6.242,0.519,1.590,1.590
s0648_femur_righ,0.657,1.464,6.516,5.988,0.137,11.852,1.398,1.361,1.040
s0648_femur_left,0.547,1.245,8.500,4.312,3.102,6.084,8.138,1.007,2.157
s0664_femur_left,0.168,2.190,2.635,1.749,3.839,6.644,0.649,3.413,5.436
s0723_femur_righ,1.804,1.369,10.325,93.674,85.855,6.019,2.965,11.974,11.825
s0723_femur_left,0.066,2.763,1.128,7.801,7.804,0.581,7.548,4.154,3.871
s0667_femur_left,2.101,4.305,17.835,10.728,10.697,0.983,3.196,17.197,17.168
s0680_femur_left,0.849,2.962,20.606,9.931,9.756,0.792,1.796,21.223,21.182
s0776_femur_left,0.471,2.498,2.377,4.589,3.344,2.893,0.134,0.421,0.398
s0776_femur_righ,0.681,2.000,9.847,6.170,8.711,5.400,1.018,3.041,4.028
s0859_femur_left,0.562,7.788,0.415,3.326,1.697,6.631,0.082,0.569,2.005
s0880_femur_left,3.019,7.446,9.538,13.935,11.660,3.986,2.656,4.923,4.142
s0859_femur_righ,2.814,21.277,8.441,6.161,4.222,11.833,2.628,0.309,0.679
s0880_femur_righ,0.019,1.064,2.792,1.844,0.139,1.962,4.034,6.690,5.828
s1099_femur_righ,0.459,1.219,1.150,2.542,3.219,8.789,8.086,1.734,1.496
s1069_femur_left,0.609,2.898,7.451,5.277,1.653,6.665,5.118,5.807,5.615
s1057_femur_righ,1.102,2.363,0.859,0.314,0.676,1.527,1.826,1.172,1.091
s1057_femur_left,2.184,7.905,10.424,9.121,9.964,5.698,2.210,3.453,3.642
s0988_femur_left,0.267,3.919,0.609,1.842,0.523,2.204,1.204,1.434,0.865
s1149_femur_left,2.789,2.053,13.069,5.895,4.067,4.661,10.018,6.368,1.489
s1291_femur_left,0.133,4.351,8.682,2.244,2.413,1.384,8.146,1.562,2.224
s1228_femur_righ,0.694,0.852,0.550,0.047,0.576,2.174,8.584,2.356,115.384
s1143_femur_left,0.173,1.345,6.671,4.485,4.435,9.374,2.287,0.035,80.228
s1143_femur_righ,0.710,0.891,2.282,3.860,3.582,3.451,4.887,0.879,107.070
