id,FHR,FHC,NSA,FNA_x,FNA_y,FNA_z,FDA_x,FDA_y,FDA_z
s0174_femur_righ,0.049,5.495,4.686,87.402,82.060,33.913,0.466,0.216,0.093
s0174_femur_left,1.830,4.201,2.052,2.206,2.305,1.051,1.008,6.081,6.039
s0171_femur_left,1.186,2.995,6.602,0.339,0.640,1.704,5.658,0.214,0.476
s0212_femur_left,0.693,4.744,15.424,12.549,10.567,2.971,20.231,1.668,17.884
s0104_femur_left,0.795,3.235,1.928,5.086,5.204,0.898,3.241,1.667,0.557
s0104_femur_righ,0.286,4.383,12.954,4.443,4.127,5.627,7.077,1.077,1.202
s0120_femur_left,1.088,5.085,8.780,3.753,4.089,3.765,4.004,0.490,0.618
s0133_femur_left,1.416,2.699,3.549,0.787,4.884,5.979,6.412,8.126,5.948
s0120_femur_righ,0.576,2.490,2.149,1.422,1.661,1.330,0.563,1.051,1.211
s0133_femur_righ,1.110,2.435,3.321,1.057,0.449,1.530,12.859,1.858,63.133
s0375_femur_left,0.499,1.425,7.416,5.441,5.245,0.601,2.594,2.718,2.519
s0592_femur_left,1.062,2.532,0.852,2.960,1.043,6.088,6.240,4.645,5.586
s0593_femur_left,1.557,5.436,3.892,2.430,2.145,0.933,10.324,3.566,42.907
s0593_femur_righ,0.855,0.645,4.646,5.400,5.622,0.865,1.034,2.451,2.245
s0375_femur_righ,0.314,0.988,2.623,1.016,0.904,2.174,2.989,1.562,1.382
s0592_femur_righ,1.243,1.371,1.927,7.672,4.011,7.060,4.663,8.826,8.513
s0648_femur_left,0.073,2.107,4.704,3.309,3.914,1.350,8.298,1.526,2.753
s0614_femur_left,0.238,4.093,0.787,4.128,2.049,3.950,0.118,0.044,0.056
s0648_femur_righ,0.557,1.371,11.431,5.334,0.156,9.365,5.469,2.907,5.149
s0723_femur_left,0.612,4.230,3.930,96.074,83.879,2.228,6.273,1.083,1.385
s0723_femur_righ,1.302,1.690,4.812,2.029,2.511,4.418,2.221,2.880,2.738
s0664_femur_left,0.665,2.511,6.582,2.145,4.701,8.477,1.394,4.021,4.116
s0776_femur_left,0.180,5.136,2.923,6.676,5.962,1.353,0.738,4.372,4.699
s0667_femur_left,3.015,3.183,29.459,13.956,14.872,2.144,8.252,21.114,22.007
s0680_femur_left,0.446,5.103,23.788,9.847,10.920,1.285,4.552,18.786,71.589
s0859_femur_left,0.050,4.895,14.087,3.924,4.192,0.171,7.658,8.066,7.614
s0776_femur_righ,0.357,0.785,1.090,0.118,2.169,4.094,5.325,0.908,2.918
s0880_femur_left,2.819,4.363,16.373,5.256,11.063,21.709,15.608,7.112,17.392
s0859_femur_righ,1.142,7.311,9.084,3.777,3.390,0.867,6.037,0.435,2.678
s0880_femur_righ,0.477,1.260,8.969,4.500,0.331,5.156,0.263,8.261,9.138
s1099_femur_righ,1.375,0.641,12.844,0.615,1.369,13.004,0.647,4.804,4.909
s1057_femur_left,2.148,6.230,4.341,5.879,6.067,1.152,1.448,4.457,4.545
s0988_femur_left,0.712,1.725,0.657,1.272,0.489,2.658,4.338,6.912,5.277
s1069_femur_left,0.698,2.050,2.593,1.489,0.891,0.922,1.366,0.757,1.397
s1057_femur_righ,0.505,1.497,1.295,4.307,4.216,0.628,1.919,1.109,1.026
s1143_femur_left,0.521,2.034,7.621,92.914,86.864,3.299,3.421,7.421,6.723
s1143_femur_righ,0.375,3.427,10.988,6.043,6.901,4.004,11.005,2.025,107.218
s1149_femur_left,0.254,2.386,4.613,0.334,0.636,0.648,4.997,0.740,1.372
s1228_femur_righ,0.780,3.112,7.548,2.952,1.983,6.108,11.024,2.451,115.049
s1291_femur_left,0.500,1.908,2.313,0.732,0.690,0.275,0.950,1.686,1.636
