id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0089,PRED,-71.275,23.661,49.633,73.625,20.661,44.733,-3.375,-42.339,49.733,9.625,-42.339,49.733,-38.375,-30.339,-20.467,39.625,-31.339,-20.467,-31.375,23.661,-44.467,27.525,23.661,-44.367
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0040,PRED,-69.201,19.334,47.913,75.799,19.334,44.913,-5.201,-42.666,47.913,15.799,-40.666,46.913,-35.201,-27.766,-18.187,31.799,-31.766,-18.187,-31.201,23.234,-44.187,25.799,26.234,-44.187
s0139,PRED,-71.996,16.070,53.373,76.004,13.070,47.373,-5.996,-50.930,48.373,14.004,-53.930,47.373,-37.996,-32.930,-19.827,42.004,-32.930,-20.827,-33.996,30.070,-40.827,31.004,33.070,-41.827
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0232,PRED,-74.939,12.503,48.008,71.961,17.503,53.908,-8.939,-47.497,49.008,-4.939,-48.497,49.008,-31.939,-27.497,-20.192,38.061,-25.497,-19.192,-27.939,40.503,-46.192,32.061,35.503,-41.192
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0029,PRED,-76.601,6.583,52.190,76.399,12.583,52.190,-10.601,-54.417,48.190,7.399,-54.417,48.190,-31.601,-33.417,-22.010,34.399,-30.417,-22.010,-31.601,34.583,-46.010,26.399,34.583,-47.010
s0091,PRED,-83.034,15.300,48.946,75.966,22.300,53.946,-16.034,-38.700,53.946,6.966,-37.700,53.946,-33.034,-32.700,-22.254,39.966,-25.700,-17.254,-26.034,25.300,-50.254,29.966,23.300,-49.254
s0163,PRED,-92.017,20.335,48.591,89.983,16.335,50.591,-8.017,-48.665,53.591,14.983,-49.665,53.591,-39.017,-31.665,-20.609,41.983,-27.665,-22.609,-33.017,28.335,-41.609,32.983,27.335,-41.609
s0049,PRED,-83.408,28.149,43.996,82.592,18.049,47.096,-8.408,-29.951,57.096,7.592,-30.851,55.996,-34.408,-28.951,-15.104,32.592,-34.951,-12.104,-25.408,21.049,-51.104,32.592,18.049,-48.104
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0082,PRED,-80.889,11.693,50.302,80.011,20.693,50.202,-9.889,-45.307,50.302,8.111,-45.307,50.302,-37.889,-31.307,-16.898,40.111,-33.307,-17.898,-28.889,22.693,-44.898,33.111,26.693,-43.898
s0182,PRED,-80.042,19.723,50.327,84.958,18.723,48.327,-5.042,-41.277,53.327,17.958,-44.277,53.327,-32.042,-37.277,-19.873,33.958,-34.277,-20.873,-32.042,25.723,-46.873,24.958,28.723,-46.873
