,ASIS_L,ASIS_R,PT_L,PT_R,PS_GT_GDIST,PS_PRED_GDIST,PS_GAP,APP
s0004,2.90,4.29,4.26,5.65,179.40,18.82,0,3.21
s0013,4.07,4.13,7.04,4.34,13.01,18.26,1,1.08
s0014,2.29,5.49,4.72,3.32,177.46,16.06,0,1.24
s0019,9.63,8.94,2.83,2.69,168.62,17.76,0,4.12
s0028,10.24,6.42,4.31,6.38,171.92,12.21,0,3.10
s0050,3.60,8.16,2.19,5.68,37.45,15.20,1,4.48
s0075,3.94,2.01,2.67,2.12,26.15,17.32,1,0.10
s0095,2.00,6.54,6.57,11.32,192.98,18.08,0,0.53
s0119,5.52,6.55,3.55,5.03,169.64,24.88,0,1.62
s0137,5.67,3.59,2.88,3.69,38.52,15.15,1,0.19
s0157,4.98,5.90,5.25,4.67,12.76,16.45,1,2.85
s0183,4.78,7.14,9.32,15.49,8.49,17.99,1,0.13
s0192,3.40,4.86,8.04,3.38,175.27,6.42,0,1.79
s0212,8.25,3.98,6.10,4.38,12.60,17.55,1,3.59
s0248,4.84,2.81,4.02,3.57,30.71,14.39,1,0.03
s0308,2.25,4.55,5.61,6.63,16.74,20.88,1,1.34
s0325,3.36,6.02,5.62,3.68,173.30,17.04,0,0.23
s0350,1.43,3.33,6.31,6.02,24.57,17.84,1,6.71
s0362,7.58,5.47,3.11,6.42,175.46,18.17,0,3.48
s0406,4.87,2.58,3.62,2.61,163.85,16.75,0,2.75
s0426,1.97,5.61,5.02,2.37,165.97,18.60,0,6.02
s0429,2.27,4.60,4.43,4.52,33.77,25.89,1,0.08
s0441,5.09,4.32,3.51,1.72,163.56,17.75,0,3.12
s0442,6.44,8.86,7.94,9.08,4.97,17.95,1,5.38
s0447,6.28,3.16,3.70,4.25,187.62,11.25,0,2.68
s0450,3.44,11.48,5.45,4.52,166.48,20.17,0,0.17
s0456,2.78,3.65,5.67,2.71,183.71,18.03,0,2.03
s0461,2.00,3.43,6.12,6.85,168.42,21.27,0,1.62
s0477,4.25,2.43,1.53,14.20,8.52,22.73,1,1.06
s0574,1.24,5.34,5.33,4.72,16.87,19.84,1,3.30
s0577,3.68,3.17,5.68,5.73,28.53,21.81,1,1.32
s0585,3.13,5.13,4.97,6.64,27.06,20.32,1,0.74
s0611,1.51,4.83,6.33,5.22,175.59,23.85,0,3.11
s0612,3.66,1.81,2.87,4.06,179.55,10.63,0,0.81
s0629,3.74,3.26,3.80,2.82,179.26,19.70,0,3.64
s0657,9.88,11.79,2.95,3.75,193.63,18.96,0,8.43
s0664,4.13,2.42,5.08,1.04,181.61,17.85,0,4.40
s0731,2.47,4.52,2.00,2.11,0.00,0.00,1,0.97
s0794,7.55,10.70,14.40,3.37,2.33,20.82,1,3.34
s0836,11.93,12.55,6.07,4.99,24.72,20.74,1,11.85
s0916,6.27,3.06,8.48,4.03,171.48,10.66,0,5.66
s0985,2.15,5.10,3.63,8.15,176.55,18.24,0,1.59
s1050,16.21,16.45,12.46,13.51,168.58,6.26,0,23.23
s1174,5.67,5.04,5.98,5.80,20.59,15.98,1,2.35
s1208,6.59,4.48,5.87,3.57,48.09,13.55,1,4.32
s1212,3.22,3.53,5.58,4.22,169.43,18.17,0,1.22
s1228,5.40,6.08,3.60,2.23,26.31,16.51,1,2.48
s1247,2.65,3.34,5.51,4.73,187.13,8.39,0,4.91
s1248,3.84,4.22,3.45,7.75,22.35,3.00,0,0.73
s1267,4.51,2.27,5.53,6.03,30.04,20.84,1,3.39
s1326,7.97,4.86,6.33,4.29,178.30,14.91,0,2.75
s1357,6.32,6.00,6.20,5.84,186.47,12.17,0,2.38
s1371,6.84,3.04,2.24,3.52,180.55,18.98,0,1.05
s1382,10.77,7.47,7.76,4.23,180.67,17.84,0,5.57
s1387,4.46,3.84,2.30,6.72,13.59,19.10,1,0.87
s1404,6.03,6.46,5.95,5.50,22.31,16.78,1,5.46
s1405,3.86,9.50,3.00,4.00,162.14,16.91,0,10.37
