id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0163,PRED,-85.411,12.278,52.782,88.589,7.278,52.782,-7.411,-55.722,49.782,13.589,-55.722,49.782,-37.411,-33.722,-24.418,46.589,-26.722,-20.418,-37.411,36.278,-47.418,34.589,36.278,-45.418
s0139,PRED,-69.357,10.377,51.806,74.543,9.377,51.706,-15.257,-50.623,46.706,8.643,-51.523,47.706,-42.357,-36.623,-21.394,41.643,-33.623,-21.394,-33.357,28.377,-43.394,34.643,32.377,-43.394
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0029,PRED,-83.121,17.005,48.218,80.879,9.005,54.218,-17.221,-48.995,48.118,2.779,-44.995,49.118,-36.121,-28.995,-22.982,32.879,-31.995,-21.982,-27.121,40.005,-46.982,31.879,35.005,-43.982
s0089,PRED,-73.123,25.586,46.923,76.877,20.586,43.923,-7.123,-39.414,50.923,10.877,-37.414,49.923,-40.123,-27.414,-18.277,32.877,-27.414,-18.277,-33.223,33.586,-45.177,28.877,30.586,-45.277
s0182,PRED,-78.214,19.661,53.200,81.586,20.661,50.200,-5.314,-43.339,53.300,17.686,-45.339,53.300,-29.314,-31.339,-20.900,36.686,-31.339,-20.900,-32.314,26.661,-47.900,27.686,26.661,-47.900
s0082,PRED,-75.619,15.898,50.656,83.381,15.898,47.656,-2.619,-46.102,52.656,11.381,-46.102,52.656,-36.619,-32.102,-18.544,44.381,-31.102,-18.544,-36.619,26.898,-47.544,38.381,28.898,-44.544
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0082,GT,-73.662,9.294,55.858,73.338,7.294,53.858,-7.662,-46.706,50.858,7.338,-47.706,50.858,-36.662,-32.706,-14.342,39.338,-38.706,-14.342,-35.662,28.294,-41.342,31.338,28.294,-41.342
s0049,PRED,-83.335,32.147,44.074,81.665,17.147,50.074,-8.335,-30.853,59.074,9.665,-32.853,59.074,-30.335,-32.953,-18.026,33.665,-29.953,-17.026,-29.335,24.047,-50.026,33.665,18.047,-48.026
s0232,PRED,-76.118,11.563,46.717,64.782,18.563,55.617,-7.218,-45.437,49.617,13.882,-42.337,51.617,-28.118,-31.437,-21.483,37.882,-30.437,-18.483,-25.118,37.563,-46.483,28.882,34.563,-46.483
s0250,PRED,-84.316,10.787,49.748,90.684,13.787,51.748,-13.416,-45.213,47.648,11.684,-43.213,48.748,-28.316,-28.213,-24.452,34.684,-29.213,-22.452,-25.316,37.787,-45.452,28.684,31.787,-43.452
s0091,PRED,-84.118,13.391,51.496,77.882,17.391,56.496,-12.118,-42.609,55.496,5.882,-45.609,58.496,-33.118,-28.709,-23.604,35.882,-30.709,-20.604,-30.118,26.291,-50.604,29.882,29.291,-50.604
s0314,GT,-69.576,22.314,53.842,61.424,25.314,59.842,-21.576,-39.686,56.842,5.424,-39.686,59.842,-31.576,-38.786,-20.258,34.424,-40.786,-15.258,-22.576,21.214,-50.258,33.424,21.214,-48.258
s0163,GT,-83.247,9.294,58.595,96.753,7.294,53.595,-2.247,-53.606,55.695,16.753,-55.606,55.695,-37.247,-29.606,-18.505,43.753,-29.606,-17.505,-34.247,36.394,-45.505,31.753,35.394,-42.505
s0049,GT,-89.417,26.394,44.940,87.683,14.494,54.940,-22.317,-33.506,59.940,6.683,-36.506,61.940,-26.317,-38.606,-13.160,30.683,-38.606,-10.160,-23.317,18.394,-49.160,36.683,16.394,-49.160
s0040,PRED,-71.126,19.689,48.034,70.774,20.689,44.134,-8.226,-37.311,48.134,9.774,-40.311,48.134,-32.226,-28.311,-20.066,33.774,-25.311,-18.066,-32.226,36.689,-41.066,27.774,26.689,-44.066
s0029,GT,-75.121,9.976,53.955,80.879,9.976,50.955,-17.121,-53.024,50.955,17.879,-55.024,49.955,-32.121,-27.024,-24.245,30.879,-33.024,-26.245,-26.121,41.976,-41.245,24.879,38.976,-44.245
s0370,PRED,-74.144,23.302,54.237,81.856,23.302,47.237,-8.144,-39.698,54.237,15.856,-38.698,53.237,-35.144,-32.698,-17.963,34.856,-38.698,-19.963,-32.144,21.302,-46.963,27.856,27.302,-50.963
s0399,PRED,-81.197,16.900,46.318,68.703,18.900,53.418,-14.297,-52.100,46.418,2.703,-53.100,46.418,-42.297,-35.100,-21.782,44.703,-41.100,-17.782,-30.297,32.900,-47.782,38.703,35.900,-42.782
s0383,GT,-83.223,16.995,49.028,75.777,25.995,52.028,-2.223,-38.005,62.028,4.777,-37.005,62.028,-35.223,-34.005,-15.172,40.777,-32.005,-15.172,-26.223,23.995,-49.172,29.777,20.995,-49.172
s0440,GT,-65.401,1.805,57.253,68.599,-4.195,55.253,-5.401,-60.095,40.353,5.599,-58.095,40.353,-43.401,-29.095,-15.847,40.599,-29.095,-15.847,-32.401,30.905,-40.847,31.599,33.905,-40.847
s0370,GT,-75.598,17.800,59.722,86.402,20.800,47.722,-3.598,-43.100,57.622,19.402,-43.200,55.722,-35.598,-38.200,-14.478,33.402,-36.200,-18.478,-32.598,24.800,-44.478,28.402,30.800,-50.478
s0314,PRED,-72.471,33.584,47.062,74.529,33.484,50.162,-12.471,-34.516,53.162,8.529,-39.516,56.162,-27.471,-1.516,-39.038,35.529,-29.516,-18.038,-24.471,32.484,-48.038,29.529,28.484,-50.038
s0250,GT,-83.330,12.463,48.298,75.670,9.563,56.198,-15.330,-44.437,54.198,9.670,-44.437,56.198,-33.330,-25.537,-25.902,34.670,-26.537,-22.902,-21.330,22.463,-41.902,28.670,25.463,-38.902
s0341,GT,-84.326,21.291,49.622,78.574,27.291,58.522,-9.326,-43.709,61.622,3.674,-43.709,61.622,-31.326,-34.709,-21.578,37.674,-36.709,-15.578,-30.326,20.291,-51.578,37.674,23.291,-47.578
s0383,PRED,-82.666,21.561,43.698,70.334,30.461,49.598,-7.666,-39.439,53.698,10.334,-36.439,53.698,-37.666,-35.439,-18.502,43.334,-35.439,-14.502,-31.666,27.561,-50.502,34.334,30.561,-47.502
s0341,PRED,-94.435,25.333,44.260,76.465,33.333,52.160,-19.435,-36.667,57.260,6.565,-36.667,56.260,-37.435,-28.667,-22.940,34.565,-23.667,-17.940,-37.435,31.433,-50.840,28.565,33.333,-46.940
s0473,PRED,-74.234,25.902,44.373,75.766,11.002,53.273,-17.234,-35.998,50.273,3.766,-36.998,52.273,-32.234,-33.098,-20.827,33.766,-36.098,-17.827,-24.234,20.902,-48.827,33.766,20.902,-44.827
s0385,GT,-73.812,0.234,61.240,84.188,-1.766,55.240,-13.812,-52.766,43.240,22.188,-53.766,41.240,-37.812,-24.766,-26.960,38.188,-27.766,-27.960,-36.812,39.234,-36.960,27.188,33.334,-40.860
s0440,PRED,-72.502,7.663,49.937,68.498,3.663,49.937,-15.502,-53.337,43.937,3.498,-55.337,43.937,-39.502,-27.337,-18.263,38.498,-33.337,-18.263,-30.502,26.663,-42.263,32.498,24.663,-42.263
s0468,GT,-75.521,8.435,64.196,81.479,-0.665,55.096,-12.521,-55.565,50.196,18.479,-60.565,49.196,-32.521,-22.565,-28.004,31.479,-32.565,-30.004,-31.521,42.435,-40.004,27.479,39.435,-43.004
s0505,PRED,-80.853,26.236,47.174,71.947,21.236,59.174,-19.953,-42.764,53.274,9.047,-42.764,54.274,-32.953,-30.764,-23.926,39.047,-30.764,-16.926,-26.953,27.236,-52.926,39.047,27.236,-46.926
s0505,GT,-81.442,18.868,50.104,61.458,18.868,63.004,-26.442,-47.132,54.104,3.558,-47.132,56.104,-32.442,-35.132,-26.096,39.558,-35.132,-18.096,-21.442,26.868,-48.096,33.558,28.868,-45.096
