id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0089,PRED,-73.248,20.234,48.732,79.752,16.234,44.732,-7.248,-40.766,49.732,14.752,-39.866,47.832,-42.248,-27.866,-14.368,36.752,-25.866,-19.368,-27.248,23.134,-44.368,23.752,21.134,-46.368
s0232,PRED,-77.106,1.870,47.191,72.794,15.870,53.091,-11.106,-46.130,45.191,9.894,-44.130,45.191,-29.106,-32.130,-23.009,35.894,-29.130,-23.009,-29.106,27.870,-47.009,30.894,29.870,-45.009
s0139,PRED,-69.793,13.369,56.620,73.207,14.369,51.620,5.207,-49.631,47.620,15.207,-51.631,47.620,-41.793,-32.631,-17.580,40.207,-28.631,-22.580,-32.793,30.369,-43.580,30.207,34.369,-44.580
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0091,PRED,-81.685,16.660,48.552,76.215,18.660,60.452,-18.685,-41.340,55.552,1.315,-40.340,55.552,-30.685,-32.340,-22.648,36.315,-29.340,-19.648,-27.685,22.660,-48.648,30.315,26.660,-46.648
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0049,PRED,-86.194,25.132,46.481,84.806,21.032,46.581,-17.194,-33.968,55.581,4.706,-29.968,56.481,-32.194,-34.968,-12.619,33.806,-37.968,-14.619,-23.194,19.032,-48.619,32.806,17.032,-48.619
s0082,PRED,-75.470,9.935,51.827,77.530,12.935,51.827,-5.470,-47.065,48.827,15.530,-47.065,48.827,-40.470,-30.065,-13.373,40.530,-30.065,-15.373,-34.470,26.935,-43.373,31.530,29.935,-45.373
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0040,PRED,-74.806,14.872,48.346,70.194,11.872,48.346,-14.906,-45.128,45.246,7.094,-45.128,46.246,-32.806,-29.128,-16.854,33.194,-32.128,-18.854,-29.806,30.872,-40.854,30.194,33.872,-40.854
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0163,PRED,-86.811,8.463,50.908,94.289,9.463,48.808,-8.811,-50.537,50.908,20.189,-50.537,48.908,-43.811,-30.537,-19.292,44.189,-32.537,-22.292,-36.811,30.463,-44.292,28.189,27.463,-44.292
s0182,PRED,-75.150,14.025,53.567,81.850,16.025,47.567,-6.150,-40.975,51.567,15.850,-43.975,51.567,-32.150,-36.975,-19.633,34.850,-28.975,-22.633,-35.150,26.025,-46.633,25.850,27.025,-47.633
s0029,PRED,-82.437,10.393,50.260,76.563,5.393,52.260,-17.537,-52.607,49.160,4.463,-54.607,50.160,-33.437,-28.607,-21.940,32.563,-29.607,-23.940,-29.437,33.393,-45.940,29.563,36.393,-45.940
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0082,GT,-72.544,4.287,53.868,73.456,7.287,53.868,-7.544,-46.713,50.868,6.456,-47.713,50.868,-36.544,-32.713,-14.332,39.456,-38.713,-14.332,-37.544,33.287,-41.332,33.456,32.287,-41.332
s0314,GT,-69.576,22.314,53.842,61.424,25.314,59.842,-21.576,-39.686,56.842,5.424,-39.686,59.842,-31.576,-38.786,-20.258,34.424,-40.786,-15.258,-22.576,21.214,-50.258,33.424,21.214,-48.258
s0163,GT,-83.247,9.294,58.595,96.753,7.294,53.595,-2.247,-53.606,55.695,16.753,-55.606,55.695,-37.247,-29.606,-18.505,43.753,-29.606,-17.505,-34.247,36.394,-45.505,31.753,35.394,-42.505
s0314,PRED,-68.929,25.777,48.400,61.971,24.777,60.300,-14.929,-38.223,57.400,5.071,-37.223,57.400,-32.929,-34.223,-19.800,36.071,-34.223,-18.800,-25.929,25.777,-49.800,34.071,28.777,-49.800
s0029,GT,-75.121,9.976,53.955,80.879,9.976,50.955,-17.121,-53.024,50.955,17.879,-55.024,49.955,-32.121,-27.024,-24.245,30.879,-33.024,-26.245,-26.121,41.976,-41.245,24.879,38.976,-44.245
s0049,GT,-89.417,26.394,44.940,87.683,14.494,54.940,-22.317,-33.506,59.940,6.683,-36.506,61.940,-26.317,-38.606,-13.160,30.683,-38.606,-10.160,-23.317,18.394,-49.160,36.683,16.394,-49.160
s0370,GT,-77.951,19.817,60.855,82.049,17.817,51.855,-1.951,-42.183,56.855,19.049,-43.183,55.855,-34.951,-38.283,-15.245,32.049,-39.283,-19.245,-36.951,35.717,-43.245,25.049,25.717,-49.245
s0383,GT,-83.286,17.033,49.000,75.714,26.033,52.000,-2.286,-37.967,62.000,4.714,-36.967,62.000,-35.286,-33.967,-15.200,40.714,-31.967,-15.200,-26.286,24.033,-49.200,29.714,21.033,-49.200
s0370,PRED,-77.167,21.180,56.879,81.733,20.180,47.979,-5.267,-38.820,54.979,12.733,-39.820,54.979,-35.267,-32.820,-16.221,33.733,-33.820,-20.221,-34.267,24.180,-46.221,25.733,22.180,-50.221
s0341,GT,-84.326,21.291,49.622,78.574,27.291,58.522,-9.326,-43.709,61.622,3.674,-43.709,61.622,-31.326,-34.709,-21.578,37.674,-36.709,-15.578,-30.326,20.291,-51.578,37.674,23.291,-47.578
