id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0232,PRED,-85.438,-1.718,50.363,73.562,3.282,48.363,-7.438,-46.718,42.363,12.562,-46.718,44.363,-35.338,-27.718,-17.737,38.662,-29.718,-19.737,-26.338,29.282,-46.737,30.662,29.282,-44.737
s0139,PRED,-72.585,13.985,53.062,77.415,13.985,50.062,-8.585,-49.915,47.962,15.515,-52.015,46.962,-41.585,-35.015,-20.138,40.415,-35.015,-20.138,-34.585,29.985,-44.138,43.415,65.985,-54.138
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0182,PRED,-78.204,13.368,52.274,83.796,12.368,50.274,-8.204,-46.632,51.274,18.796,-44.632,50.274,-28.204,-35.732,-24.826,33.796,-35.732,-20.826,-32.204,29.268,-48.826,27.796,28.268,-47.826
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0040,PRED,-72.244,15.068,45.662,71.656,11.068,48.562,-14.244,-44.932,45.662,6.756,-44.932,45.662,-34.244,-31.932,-17.538,32.756,-30.932,-17.538,-27.244,29.068,-43.538,28.756,31.068,-43.538
s0049,PRED,-83.849,27.195,45.584,87.151,21.195,41.584,-5.849,-37.905,54.684,85.151,-64.805,64.584,-39.849,-63.905,-10.516,34.151,-64.905,-10.516,-31.849,37.095,-47.516,-24.849,45.095,-17.516
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0029,PRED,-80.893,9.520,49.659,79.107,9.420,54.559,-11.893,-52.480,49.659,7.107,-50.480,49.659,-33.893,-33.480,-21.541,41.107,-20.480,-13.541,-26.893,41.520,-46.541,26.107,27.520,-46.541
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0163,PRED,-89.832,15.430,54.144,93.168,14.430,49.144,-16.832,-47.570,51.144,13.168,-48.570,52.144,-41.832,-33.670,-18.956,45.168,-32.670,-18.956,-30.832,27.330,-43.956,33.168,31.330,-40.956
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0082,GT,-73.662,9.294,55.858,73.338,7.294,53.858,-7.662,-46.706,50.858,7.338,-47.706,50.858,-36.662,-32.706,-14.342,39.338,-38.706,-14.342,-35.662,28.294,-41.342,31.338,28.294,-41.342
s0314,PRED,-67.838,27.326,53.162,67.062,25.326,54.062,-9.838,-38.674,56.162,7.162,-38.674,56.162,-28.838,-37.674,-21.038,36.162,-35.674,-18.038,-25.838,25.326,-51.038,28.162,23.326,-51.038
s0091,PRED,-82.991,7.751,50.473,79.009,21.851,53.573,-10.991,-40.149,56.573,10.009,-38.149,56.573,-35.991,-29.149,-20.627,36.009,-31.149,-22.627,-26.991,22.851,-46.627,27.009,29.851,-47.627
s0314,GT,-69.576,22.314,53.842,61.424,25.314,59.842,-21.576,-39.686,56.842,5.424,-39.686,59.842,-31.576,-38.786,-20.258,34.424,-40.786,-15.258,-22.576,21.214,-50.258,33.424,21.214,-48.258
s0250,PRED,-69.477,46.591,66.603,88.523,8.591,51.603,-7.477,-48.309,51.703,8.523,-48.309,51.703,-35.477,-28.309,-24.497,33.523,-31.309,-24.497,-39.477,57.691,-25.497,36.523,57.691,-25.497
s0082,PRED,-77.398,7.919,51.640,75.702,9.819,50.640,-9.398,-49.081,47.640,6.702,-49.181,47.640,-40.298,-32.081,-14.460,41.702,-32.081,-14.460,-34.298,29.919,-44.460,29.702,24.919,-47.460
s0370,PRED,-78.202,20.574,54.329,81.798,19.574,50.329,-2.202,-40.426,54.329,11.798,-40.426,54.329,-37.202,-33.526,-16.771,33.798,-39.526,-17.771,-31.202,24.474,-47.771,26.798,29.574,-49.671
s0163,GT,-83.247,9.294,58.595,96.753,7.294,53.595,-2.247,-53.606,55.695,16.753,-55.606,55.695,-37.247,-29.606,-18.505,43.753,-29.606,-17.505,-34.247,36.394,-45.505,31.753,35.394,-42.505
s0029,GT,-75.121,9.976,53.955,80.879,9.976,50.955,-17.121,-53.024,50.955,17.879,-55.024,49.955,-32.121,-27.024,-24.245,30.879,-33.024,-26.245,-26.121,41.976,-41.245,24.879,38.976,-44.245
s0385,PRED,-81.330,12.686,55.993,84.670,1.586,52.893,-11.330,-49.314,49.993,12.670,-50.314,49.993,-41.330,-27.314,-21.207,42.670,-39.314,-25.207,-34.330,26.686,-43.207,22.670,32.686,-46.207
s0049,GT,-89.417,26.394,44.940,87.683,14.494,54.940,-22.317,-33.506,59.940,6.683,-36.506,61.940,-26.317,-38.606,-13.160,30.683,-38.606,-10.160,-23.317,18.394,-49.160,36.683,16.394,-49.160
s0383,GT,-83.223,16.995,49.028,75.777,25.995,52.028,-2.223,-38.005,62.028,4.777,-37.005,62.028,-35.223,-34.005,-15.172,40.777,-32.005,-15.172,-26.223,23.995,-49.172,29.777,20.995,-49.172
s0383,PRED,-83.026,17.824,44.733,78.974,24.724,47.833,-6.026,-39.176,52.733,17.974,-36.276,50.833,-38.026,-35.276,-17.367,46.974,-39.276,-17.367,-29.026,21.724,-49.367,25.974,27.724,-44.367
s0399,PRED,-82.213,11.808,49.929,68.787,8.808,52.929,-15.313,-56.192,48.829,5.687,-53.192,49.829,-45.213,-33.192,-18.271,47.787,-34.192,-15.271,-26.213,28.808,-45.271,42.787,31.808,-43.271
s0341,GT,-84.326,21.291,49.622,78.574,27.291,58.522,-9.326,-43.709,61.622,3.674,-43.709,61.622,-31.326,-34.709,-21.578,37.674,-36.709,-15.578,-30.326,20.291,-51.578,37.674,23.291,-47.578
s0370,GT,-75.598,17.800,59.722,86.402,20.800,47.722,-3.598,-43.100,57.622,19.402,-43.200,55.722,-35.598,-38.200,-14.478,33.402,-36.200,-18.478,-32.598,24.800,-44.478,28.402,30.800,-50.478
s0440,GT,-65.401,1.805,57.253,68.599,-4.195,55.253,-5.401,-60.095,40.353,5.599,-58.095,40.353,-43.401,-29.095,-15.847,40.599,-29.095,-15.847,-32.401,30.905,-40.847,31.599,33.905,-40.847
s0250,GT,-83.330,12.463,48.298,75.670,9.563,56.198,-15.330,-44.437,54.198,9.670,-44.437,56.198,-33.330,-25.537,-25.902,34.670,-26.537,-22.902,-21.330,22.463,-41.902,28.670,25.463,-38.902
s0341,PRED,-86.402,17.433,41.328,91.498,49.433,49.228,-11.402,-42.567,56.328,4.598,-42.567,56.328,-35.402,-39.567,-20.872,39.598,-34.567,-20.872,-26.402,27.433,-51.872,34.598,27.433,-45.872
s0473,PRED,-76.379,27.943,60.996,75.621,9.943,47.996,-10.379,-40.957,52.096,12.621,-40.957,51.096,-33.379,-33.957,-25.104,31.621,-34.957,-16.104,-27.379,36.043,-43.104,38.621,39.043,-34.104
s0385,GT,-73.812,0.234,61.240,84.188,-1.766,55.240,-13.812,-52.766,43.240,22.188,-53.766,41.240,-37.812,-24.766,-26.960,38.188,-27.766,-27.960,-36.812,39.234,-36.960,27.188,33.334,-40.860
s0468,GT,-75.521,8.435,64.196,81.479,-0.665,55.096,-12.521,-55.565,50.196,18.479,-60.565,49.196,-32.521,-22.565,-28.004,31.479,-32.565,-30.004,-31.521,42.435,-40.004,27.479,39.435,-43.004
s0440,PRED,-74.139,9.725,51.889,69.861,2.725,53.889,-11.139,-57.275,41.889,5.861,-57.275,41.889,-42.139,-31.275,-16.311,41.861,-34.275,-19.311,-33.139,37.725,-38.311,32.861,32.725,-41.311
s0089,PRED,-31.134,29.175,-44.844,3.866,-0.825,-56.844,-36.234,42.075,-35.844,41.866,59.175,-18.844,-58.134,-15.025,52.156,73.766,2.075,37.156,-23.134,-67.025,9.156,20.866,-63.925,16.256
s0468,PRED,-75.598,16.079,57.413,84.402,5.079,45.413,-9.598,-55.921,48.413,17.402,-55.921,48.413,-35.598,-29.921,-24.787,34.402,-38.921,-30.787,-28.598,39.079,-42.787,25.402,24.079,-45.787
s0505,GT,-81.442,18.868,50.104,61.458,18.868,63.004,-26.442,-47.132,54.104,3.558,-47.132,56.104,-32.442,-35.132,-26.096,39.558,-35.132,-18.096,-21.442,26.868,-48.096,33.558,28.868,-45.096
s0592,PRED,-75.706,13.683,58.864,79.294,4.683,50.864,-9.706,-43.217,50.964,14.294,-48.217,49.964,-33.706,-35.217,-17.236,42.294,-29.217,-15.236,-32.706,28.783,-48.236,36.294,30.783,-47.236
s0505,PRED,-77.935,18.858,50.450,65.965,17.858,56.350,-14.935,-48.142,51.450,6.065,-47.142,51.450,-33.935,-30.142,-23.750,42.065,-33.142,-16.750,-22.935,28.858,-50.750,38.065,32.858,-40.750
s0473,GT,-82.041,31.851,39.727,75.959,21.951,51.627,-25.041,-35.049,54.627,3.959,-38.049,57.627,-32.041,-36.149,-18.473,29.959,-40.149,-13.473,-23.041,22.851,-43.473,30.959,20.851,-40.473
s0399,GT,-84.247,14.797,48.128,70.653,13.797,64.028,-13.347,-55.203,52.028,-0.347,-57.203,54.028,-40.247,-40.203,-20.072,46.753,-40.203,-14.072,-31.247,30.797,-47.072,43.753,30.797,-38.072
s0581,PRED,-80.569,3.407,49.953,81.431,4.407,50.953,-13.669,-55.593,46.853,9.331,-52.593,47.853,-33.569,-33.593,-21.247,33.431,-33.593,-20.247,-29.569,38.407,-42.247,31.431,30.507,-42.147
s0483,GT,-77.024,2.811,67.196,81.776,14.811,53.196,-11.124,-57.189,52.296,21.876,-54.189,49.296,-40.124,-37.189,-18.904,40.876,-31.189,-23.904,-43.124,32.811,-38.904,31.876,40.811,-45.904
s0593,GT,-81.622,19.652,50.197,73.178,27.652,56.197,-10.722,-52.348,56.297,7.278,-52.348,56.297,-33.722,-37.348,-18.903,42.278,-31.348,-15.903,-36.722,32.652,-42.903,36.278,32.652,-44.903
s0600,GT,-80.059,30.796,54.867,96.941,18.796,45.867,-14.059,-44.204,65.867,19.941,-45.204,63.867,-36.059,-35.204,-17.333,28.941,-39.204,-19.333,-30.059,22.796,-47.333,28.941,22.796,-52.333
s0593,PRED,-20.195,26.021,49.746,72.705,25.021,52.646,-16.195,-48.979,51.746,3.805,-51.979,51.746,-34.195,-36.979,-19.454,44.805,-34.979,-19.454,-46.095,50.021,-31.354,40.805,46.121,-38.354
s0600,PRED,-74.070,20.244,57.148,85.730,12.244,45.148,-3.170,-44.756,60.248,8.830,-44.756,60.248,-38.170,-35.756,-18.952,31.830,-35.756,-21.952,-29.170,26.244,-49.952,25.830,22.244,-51.952
s0636,GT,-78.229,11.534,56.507,84.771,17.434,41.607,-0.229,-39.466,56.507,18.771,-36.466,53.507,-35.229,-33.566,-17.593,33.771,-32.566,-23.593,-37.229,22.434,-41.593,27.771,25.434,-50.593
s0581,GT,-78.150,5.832,51.889,84.850,0.832,51.889,-11.250,-55.068,47.889,6.750,-57.168,45.989,-35.250,-31.168,-19.211,31.750,-34.168,-19.211,-32.250,37.832,-40.211,33.750,33.832,-40.211
s0607,GT,-80.401,19.984,52.712,75.599,28.984,56.712,-16.401,-36.116,58.812,10.599,-37.016,61.712,-27.401,-36.116,-20.388,33.599,-36.116,-18.388,-30.401,22.884,-48.388,30.599,26.884,-47.388
s0607,PRED,-85.035,25.214,48.778,76.965,28.214,53.778,-13.035,-37.786,57.778,7.965,-37.786,57.778,-29.035,-34.786,-19.422,39.965,-24.786,-16.422,-33.035,21.214,-49.422,33.965,24.214,-47.422
s0626,PRED,-70.538,4.906,56.281,86.362,5.906,43.181,4.462,-59.094,46.281,11.462,-60.094,46.281,-37.538,-34.094,-20.919,43.462,-34.094,-21.919,-36.538,35.906,-38.919,23.462,31.906,-39.919
s0624,PRED,-73.894,15.375,52.156,76.106,18.375,51.156,-4.894,-37.625,55.156,13.106,-38.625,55.156,-31.894,-31.625,-20.044,34.106,-28.625,-19.044,-31.894,23.375,-46.044,23.106,20.375,-47.044
s0624,GT,-73.500,13.441,54.251,73.500,16.441,54.251,-13.500,-37.559,57.251,8.500,-37.559,57.251,-31.500,-32.559,-19.949,34.500,-31.559,-17.949,-25.500,23.441,-44.949,25.500,23.441,-44.949
s0673,PRED,-79.873,16.424,45.009,75.027,26.424,53.109,-6.973,-45.576,51.109,9.027,-43.576,51.109,-29.973,-33.576,-24.091,36.027,-30.576,-18.091,-22.973,21.424,-48.091,32.027,27.424,-41.091
s0668,GT,-69.851,5.377,52.221,68.149,5.377,52.221,-16.851,-59.623,45.221,17.149,-60.623,45.221,-37.851,-34.623,-18.979,40.149,-34.623,-19.979,-28.851,34.377,-40.979,31.149,37.377,-40.979
s0483,PRED,-81.387,6.122,54.496,84.413,14.122,51.496,4.513,-57.878,48.596,5.513,-57.878,48.596,-39.487,-31.878,-18.604,45.513,-30.878,-19.604,-3.487,38.122,-36.604,28.513,37.122,-43.604
s0680,PRED,-81.906,21.223,50.921,81.094,21.223,51.921,-17.906,-37.777,51.921,5.094,-38.777,51.921,-37.906,-36.777,-19.279,35.094,-36.777,-17.279,-24.906,20.223,-47.279,28.094,22.223,-47.279
s0673,GT,-80.807,16.106,44.313,71.093,25.106,59.213,-0.807,-47.894,58.313,1.193,-46.894,58.313,-25.807,-35.794,-23.787,31.193,-36.894,-17.887,-32.707,40.106,-38.787,-18.907,49.106,-4.787
s0636,PRED,-75.067,12.185,53.170,81.833,16.185,41.070,-11.067,-38.815,54.170,13.933,-40.815,54.170,-37.067,-34.815,-17.030,39.933,-23.815,-20.030,-32.067,23.185,-44.030,22.933,23.185,-50.030
s0626,GT,-74.656,2.993,57.070,86.244,5.993,46.170,-2.656,-60.007,51.070,18.344,-61.007,48.070,-38.756,-38.007,-19.030,39.244,-35.007,-23.030,-38.756,31.993,-37.030,30.144,40.993,-34.930
s0663,PRED,-84.839,7.697,46.559,78.061,1.697,52.659,-13.939,-49.303,47.659,4.061,-51.303,47.659,-35.939,-34.303,-21.541,36.061,-35.303,-21.541,-32.939,40.697,-42.541,32.061,28.697,-44.541
s0728,GT,-67.582,8.415,49.575,64.418,4.415,55.575,-10.582,-54.585,49.575,7.418,-49.585,50.575,-33.582,-38.585,-15.625,36.418,-37.585,-9.625,-27.582,24.415,-44.625,36.418,27.415,-42.625
s0680,GT,-77.522,21.902,52.614,79.278,18.902,53.614,-20.622,-39.098,53.714,7.378,-39.098,53.714,-35.622,-35.098,-20.486,36.378,-35.098,-18.486,-23.622,24.902,-45.486,33.378,25.002,-44.386
s0668,PRED,-73.323,10.798,49.461,70.677,5.798,52.461,-10.323,-60.202,39.461,7.677,-58.102,40.361,-39.323,-29.202,-18.739,42.677,-26.202,-18.739,-27.323,33.798,-40.739,32.677,31.798,-42.739
s0663,GT,-88.105,6.894,48.940,84.895,-1.106,52.940,-16.105,-49.106,49.940,9.895,-50.106,51.940,-35.105,-40.206,-19.160,35.895,-38.206,-19.160,-27.105,28.794,-43.160,36.895,31.794,-40.160
s0592,GT,-74.660,11.115,49.307,74.340,11.115,49.307,-2.660,-39.885,55.307,8.340,-41.885,55.307,-36.660,-33.985,-12.793,37.340,-33.085,-15.693,-42.660,53.015,-12.793,38.340,31.015,-39.793
