id,gt_or_pred,asis_l_x,asis_l_y,asis_l_z,asis_r_x,asis_r_y,asis_r_z,pt_l_x,pt_l_y,pt_l_z,pt_r_x,pt_r_y,pt_r_z,is_l_x,is_l_y,is_l_z,is_r_x,is_r_y,is_r_z,psis_l_x,psis_l_y,psis_l_z,psis_r_x,psis_r_y,psis_r_z
s0232,GT,-79.748,-2.187,52.025,74.252,8.813,57.025,-15.848,-50.187,44.925,16.352,-48.187,45.925,-29.748,-28.187,-23.175,33.252,-30.187,-23.175,-32.748,35.813,-43.175,36.252,38.813,-43.175
s0139,PRED,-72.793,16.742,53.690,74.107,10.742,52.790,-8.893,-51.258,47.790,17.107,-51.258,47.790,-40.893,-29.258,-21.410,40.107,-26.258,-21.410,-32.893,30.742,-44.410,28.107,31.742,-45.410
s0040,PRED,-73.613,20.483,47.455,73.387,20.483,47.455,-14.613,-39.517,47.455,10.387,-39.517,47.455,-33.613,-25.517,-17.745,31.387,-30.517,-17.745,-29.613,31.483,-43.745,27.387,29.483,-44.745
s0182,GT,-78.388,12.584,56.212,86.512,20.584,49.312,-2.488,-45.416,56.312,17.512,-45.416,56.312,-31.488,-35.416,-17.888,30.512,-38.416,-20.888,-32.488,28.584,-45.888,24.512,25.584,-47.888
s0091,GT,-79.729,18.337,50.380,73.271,17.337,59.380,-8.729,-40.663,57.380,8.271,-38.563,56.280,-32.729,-32.663,-22.820,34.271,-32.663,-20.820,-26.729,25.337,-47.820,28.271,32.337,-44.820
s0232,PRED,-79.965,4.061,48.488,76.135,5.061,53.388,-7.865,-44.939,45.388,10.135,-47.939,43.388,-33.965,-33.939,-22.712,37.035,-29.939,-20.712,-28.965,32.061,-47.712,31.035,30.061,-47.712
s0082,PRED,-75.546,10.506,50.586,78.454,14.506,51.586,-9.546,-46.494,47.586,15.454,-46.494,47.586,-40.546,-32.494,-16.614,42.454,-34.494,-16.614,-34.546,28.506,-46.614,31.454,30.506,-46.614
s0089,GT,-68.727,18.751,52.922,77.273,12.751,45.922,-5.727,-41.249,52.922,15.273,-43.249,51.922,-40.727,-25.349,-13.178,36.273,-26.349,-15.178,-29.727,26.651,-42.178,21.273,23.551,-43.078
s0139,GT,-68.820,14.843,57.930,76.180,17.843,52.930,-3.820,-54.157,51.930,12.180,-51.157,51.930,-41.820,-34.157,-16.270,39.180,-31.157,-22.270,-31.820,28.843,-42.270,28.180,32.843,-45.270
s0029,PRED,-82.172,10.090,51.478,76.828,7.090,51.478,-14.172,-52.910,48.478,7.828,-52.910,48.478,-33.172,-26.910,-21.722,35.828,-28.910,-19.722,-27.172,36.090,-46.722,32.828,37.090,-46.722
s0049,PRED,-81.016,25.150,47.613,86.984,18.150,44.613,-8.016,-34.850,59.613,14.984,-34.850,59.613,-28.016,-36.850,-20.587,31.984,-37.850,-13.587,-25.016,19.150,-50.587,31.984,19.150,-50.587
s0163,PRED,-83.691,8.620,53.299,93.309,8.620,50.299,-5.591,-49.380,51.199,19.409,-51.380,50.199,-45.691,-38.380,-22.901,46.309,-37.380,-23.901,-36.691,37.620,-44.901,29.309,33.620,-44.901
s0089,PRED,-66.628,11.034,52.582,77.372,12.034,47.582,-3.628,-44.866,49.682,17.372,-44.866,49.682,-40.628,-30.866,-17.518,39.372,-31.866,-17.518,-28.628,29.234,-46.418,25.372,31.134,-42.518
s0091,PRED,-84.288,17.367,50.427,79.612,25.367,53.327,-13.288,-39.633,56.427,6.712,-39.633,56.427,-33.288,-28.633,-23.773,38.712,-30.633,-20.773,-24.288,26.367,-50.773,32.712,26.367,-47.773
s0082,GT,-73.662,9.294,55.858,73.338,7.294,53.858,-7.662,-46.706,50.858,7.338,-47.706,50.858,-36.662,-32.706,-14.342,39.338,-38.706,-14.342,-35.662,28.294,-41.342,31.338,28.294,-41.342
s0040,GT,-69.562,12.594,50.952,72.438,13.594,50.952,-11.562,-44.406,47.952,15.438,-46.406,47.952,-30.562,-32.406,-17.248,28.438,-33.406,-15.248,-32.562,36.594,-38.248,30.438,32.594,-39.248
s0182,PRED,-79.761,17.878,53.195,87.239,20.878,47.195,-4.761,-40.122,53.195,19.239,-43.122,53.195,-32.761,-31.122,-20.005,36.239,-33.122,-23.005,-31.761,26.878,-48.005,28.239,30.878,-50.005
s0314,GT,-69.576,22.314,53.842,61.424,25.314,59.842,-21.576,-39.686,56.842,5.424,-39.686,59.842,-31.576,-38.786,-20.258,34.424,-40.786,-15.258,-22.576,21.214,-50.258,33.424,21.214,-48.258
s0314,PRED,-68.453,25.644,51.822,68.447,25.644,53.722,-10.453,-37.356,57.822,4.547,-39.356,57.822,-29.453,-36.356,-20.378,37.547,-31.356,-17.378,-26.453,24.644,-52.378,30.547,20.644,-50.378
s0341,PRED,-86.855,26.972,46.624,83.145,27.972,53.624,-5.855,-41.028,57.624,17.145,-38.128,55.724,-34.855,-32.128,-21.476,39.145,-36.128,-20.476,-34.855,27.872,-50.476,34.145,27.872,-48.476
s0163,GT,-83.247,9.294,58.595,96.753,7.294,53.595,-2.247,-53.606,55.695,16.753,-55.606,55.695,-37.247,-29.606,-18.505,43.753,-29.606,-17.505,-34.247,36.394,-45.505,31.753,35.394,-42.505
s0029,GT,-75.121,9.976,53.955,80.879,9.976,50.955,-17.121,-53.024,50.955,17.879,-55.024,49.955,-32.121,-27.024,-24.245,30.879,-33.024,-26.245,-26.121,41.976,-41.245,24.879,38.976,-44.245
s0049,GT,-89.417,26.394,44.940,87.683,14.494,54.940,-22.317,-33.506,59.940,6.683,-36.506,61.940,-26.317,-38.606,-13.160,30.683,-38.606,-10.160,-23.317,18.394,-49.160,36.683,16.394,-49.160
s0383,PRED,-84.353,17.737,45.801,75.647,23.737,51.801,-9.353,-34.363,54.901,6.647,-35.363,54.901,-40.353,-29.363,-16.299,42.647,-37.363,-16.299,-32.353,24.637,-49.299,30.647,25.637,-49.299
s0250,PRED,-5.865,-10.831,-54.735,3.135,-9.831,-54.735,-30.865,46.169,-36.735,26.135,46.169,-36.735,-76.865,-0.831,42.465,82.135,-0.931,48.365,-9.865,-47.831,51.465,14.135,-45.831,52.465
s0341,GT,-84.326,21.291,49.622,78.574,27.291,58.522,-9.326,-43.709,61.622,3.674,-43.709,61.622,-31.326,-34.709,-21.578,37.674,-36.709,-15.578,-30.326,20.291,-51.578,37.674,23.291,-47.578
s0383,GT,-83.223,16.995,49.028,75.777,25.995,52.028,-2.223,-38.005,62.028,4.777,-37.005,62.028,-35.223,-34.005,-15.172,40.777,-32.005,-15.172,-26.223,23.995,-49.172,29.777,20.995,-49.172
s0440,GT,-65.401,1.805,57.253,68.599,-4.195,55.253,-5.401,-60.095,40.353,5.599,-58.095,40.353,-43.401,-29.095,-15.847,40.599,-29.095,-15.847,-32.401,30.905,-40.847,31.599,33.905,-40.847
s0440,PRED,-70.071,13.276,54.133,70.929,7.276,54.133,-7.071,-53.624,42.033,11.029,-55.724,40.033,-41.071,-30.724,-20.067,38.929,-29.724,-19.067,-35.071,33.276,-40.067,30.929,35.276,-41.067
s0370,GT,-75.598,17.800,59.722,86.402,20.800,47.722,-3.598,-43.100,57.622,19.402,-43.200,55.722,-35.598,-38.200,-14.478,33.402,-36.200,-18.478,-32.598,24.800,-44.478,28.402,30.800,-50.478
s0250,GT,-83.330,12.463,48.298,75.670,9.563,56.198,-15.330,-44.437,54.198,9.670,-44.437,56.198,-33.330,-25.537,-25.902,34.670,-26.537,-22.902,-21.330,22.463,-41.902,28.670,25.463,-38.902
s0370,PRED,-75.132,20.809,56.289,83.868,20.809,47.289,-6.132,-38.291,56.389,14.868,-38.291,53.389,-37.132,-29.291,-16.811,31.868,-30.291,-20.811,-34.132,28.709,-47.811,25.868,22.709,-50.811
s0473,PRED,-73.778,22.253,46.815,74.222,19.253,48.815,-15.778,-37.747,52.815,7.222,-37.747,52.815,-28.778,-32.747,-22.385,33.222,-35.747,-16.385,-23.778,23.253,-46.385,34.222,20.253,-43.385
s0468,GT,-75.521,8.435,64.196,81.479,-0.665,55.096,-12.521,-55.565,50.196,18.479,-60.565,49.196,-32.521,-22.565,-28.004,31.479,-32.565,-30.004,-31.521,42.435,-40.004,27.479,39.435,-43.004
s0483,PRED,-78.097,4.688,58.339,81.803,13.688,51.439,-6.197,-53.312,49.439,16.803,-55.312,49.439,-40.197,-33.312,-19.761,43.803,-32.312,-22.761,-37.197,33.688,-42.761,25.803,35.688,-45.761
s0399,PRED,-81.410,9.008,49.742,53.590,23.008,57.742,-18.410,-54.892,49.842,5.590,-54.892,49.842,-44.410,-34.892,-18.358,45.590,-34.892,-15.358,-26.410,31.108,-48.358,42.590,29.108,-43.358
s0385,GT,-73.812,0.234,61.240,84.188,-1.766,55.240,-13.812,-52.766,43.240,22.188,-53.766,41.240,-37.812,-24.766,-26.960,38.188,-27.766,-27.960,-36.812,39.234,-36.960,27.188,33.334,-40.860
s0581,PRED,-77.974,9.119,53.252,81.926,6.119,51.352,-9.074,-52.781,46.252,10.026,-53.881,43.252,-35.074,-28.881,-20.848,33.926,-29.881,-20.848,-34.074,39.119,-41.848,31.926,34.119,-43.848
s0505,GT,-81.442,18.868,50.104,61.458,18.868,63.004,-26.442,-47.132,54.104,3.558,-47.132,56.104,-32.442,-35.132,-26.096,39.558,-35.132,-18.096,-21.442,26.868,-48.096,33.558,28.868,-45.096
s0385,PRED,-82.419,18.222,54.822,90.481,7.222,51.922,-2.519,-40.778,54.922,2.481,-41.778,54.922,-37.519,-28.778,-24.278,47.481,-46.778,-42.278,-8.519,19.222,-52.278,18.481,13.222,-54.278
s0592,PRED,-75.566,21.560,51.751,80.434,11.560,48.751,-3.566,-41.440,51.751,14.434,-41.440,51.751,-38.566,-30.540,-17.349,36.434,-30.540,-17.349,-34.566,25.460,-46.349,31.434,27.460,-46.349
s0505,PRED,-77.639,19.112,51.102,68.261,21.112,60.002,-23.639,-46.888,51.102,11.361,-49.888,52.102,-35.639,-27.888,-23.098,42.361,-32.888,-16.098,-23.639,32.112,-52.098,39.361,36.112,-41.098
s0399,GT,-84.247,14.797,48.128,70.653,13.797,64.028,-13.347,-55.203,52.028,-0.347,-57.203,54.028,-40.247,-40.203,-20.072,46.753,-40.203,-14.072,-31.247,30.797,-47.072,43.753,30.797,-38.072
