,ASIS_L,ASIS_R,PT_L,PT_R,PS_GT_GDIST,PS_PRED_GDIST,PS_GAP,APP
s0004,11.92,6.81,3.67,5.00,182.46,179.50,1,3.37
s0013,3.01,0.82,3.45,2.15,13.01,13.13,1,2.31
s0014,7.07,5.39,0.33,1.76,177.46,12.00,0,0.63
s0019,3.97,4.03,1.12,1.19,168.62,17.75,0,2.11
s0028,4.99,2.39,3.13,5.87,171.92,176.26,1,0.96
s0050,3.19,2.67,2.85,4.97,26.11,159.20,1,2.31
s0075,0.60,1.72,3.98,1.59,26.15,17.52,1,1.71
s0095,3.01,10.35,4.29,3.50,192.98,10.83,0,1.36
s0119,3.96,4.35,6.28,4.22,169.64,16.02,0,3.76
s0137,8.21,1.51,6.19,2.17,38.52,17.85,1,2.47
s0157,4.06,6.75,4.59,4.87,12.76,17.25,1,2.51
s0183,2.44,5.71,6.75,10.76,8.49,16.48,1,1.15
s0192,6.63,2.62,2.81,4.62,176.40,177.26,1,2.45
s0212,8.46,0.68,3.92,1.25,12.60,4.30,1,2.23
s0248,1.62,2.01,1.05,2.60,30.71,17.14,1,1.99
s0308,5.68,3.23,3.18,2.00,38.96,14.30,1,0.56
s0325,2.10,2.45,5.05,1.62,173.30,11.97,0,0.80
s0350,2.17,2.30,4.43,5.37,24.57,19.85,1,2.01
s0362,3.66,6.27,5.56,2.67,175.46,2.58,0,0.05
s0406,6.48,1.99,2.50,6.91,163.85,13.47,0,3.65
s0426,2.91,3.11,3.75,2.32,165.97,26.78,0,3.15
s0429,5.21,0.72,1.98,4.92,33.77,26.76,1,1.17
s0441,3.79,4.96,2.45,2.45,163.56,13.79,0,2.49
s0442,8.65,5.15,5.60,9.99,4.97,11.10,1,4.66
s0447,3.90,9.55,4.95,6.28,187.62,0.00,0,0.79
s0450,1.03,4.74,6.59,5.27,166.48,20.87,0,0.72
s0456,4.46,2.22,6.30,2.86,183.71,178.45,1,0.02
s0461,4.47,1.28,2.85,3.32,168.42,13.61,0,0.70
s0477,3.99,4.71,1.42,3.93,8.52,11.82,1,1.08
s0574,3.72,1.60,3.24,2.57,16.87,15.22,1,1.89
s0577,2.85,2.79,1.06,4.27,28.53,15.95,1,0.60
s0585,5.37,4.43,2.47,4.77,27.01,20.90,1,1.56
s0611,1.11,3.57,1.21,1.47,174.08,15.39,0,0.09
s0612,2.44,2.94,2.31,0.91,179.55,15.12,0,2.76
s0629,2.63,3.68,1.21,2.08,179.26,18.09,0,3.24
s0657,6.87,7.73,6.39,4.89,193.63,3.51,0,8.96
s0664,3.75,3.86,1.78,2.27,181.61,18.09,0,1.25
s0731,2.41,3.04,0.87,1.95,0.00,2.00,1,0.80
s0794,6.04,10.88,14.15,2.70,2.33,19.61,1,0.49
s0836,5.96,5.32,6.21,10.45,24.72,26.22,1,3.46
s0916,2.67,1.36,2.99,2.84,171.48,13.67,0,1.11
s0985,1.59,1.90,3.82,5.34,176.55,17.89,0,0.72
s1050,2.93,30.15,31.05,3.44,153.42,19.85,0,14.47
s1174,3.16,5.91,3.01,3.67,177.47,21.92,0,3.76
s1208,8.75,3.17,3.95,5.79,48.09,12.33,1,3.54
s1212,1.93,2.79,2.19,8.79,169.43,15.88,0,0.81
s1228,2.58,5.78,3.18,9.37,26.31,8.65,1,4.89
s1247,4.11,6.57,3.43,1.86,187.13,13.23,0,4.58
s1248,5.82,0.89,9.25,2.96,22.35,24.04,1,3.75
s1267,1.36,1.56,6.26,2.33,30.04,14.93,1,1.72
s1326,2.44,2.83,7.71,2.28,178.30,1.00,0,1.41
s1357,7.10,1.66,3.19,3.83,186.47,14.36,0,7.56
s1371,4.71,4.54,8.32,4.00,180.55,2.86,0,0.91
s1382,1.26,3.74,4.25,3.22,180.67,177.24,1,0.70
s1387,4.11,5.97,2.36,2.57,13.59,11.50,1,1.24
s1404,2.62,3.15,4.83,0.66,22.31,16.14,1,1.15
s1405,6.84,7.11,2.65,2.32,162.14,20.04,0,6.23
