subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.88,0.57,1.41,0.93
sub-verse138_vert-17-seg-vert_msk,0.89,0.53,1.73,0.91
sub-verse138_vert-18-seg-vert_msk,0.88,0.60,1.73,0.90
sub-verse138_vert-19-seg-vert_msk,0.89,0.70,2.00,0.90
sub-verse138_vert-20-seg-vert_msk,0.89,0.53,2.00,0.89
sub-verse138_vert-21-seg-vert_msk,0.89,0.59,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.90,0.54,1.73,0.93
sub-verse138_vert-23-seg-vert_msk,0.87,0.65,2.24,0.85
sub-verse138_vert-24-seg-vert_msk,0.83,0.85,3.32,0.72
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,1.73,0.90
sub-verse058_vert-20-seg-vert_msk,0.89,0.57,1.41,0.93
sub-verse058_vert-21-seg-vert_msk,0.88,0.56,1.73,0.91
sub-verse058_vert-22-seg-vert_msk,0.87,0.59,2.00,0.88
sub-verse058_vert-23-seg-vert_msk,0.88,0.61,1.73,0.91
sub-verse058_vert-24-seg-vert_msk,0.86,0.69,2.24,0.85
sub-verse152_vert-19-seg-vert_msk,0.90,0.54,1.00,0.98
sub-verse152_vert-20-seg-vert_msk,0.86,0.68,1.73,0.90
sub-verse152_vert-21-seg-vert_msk,0.90,0.56,1.41,0.96
sub-verse152_vert-22-seg-vert_msk,0.89,0.63,1.41,0.93
sub-verse152_vert-23-seg-vert_msk,0.86,0.82,2.00,0.87
sub-verse152_vert-24-seg-vert_msk,0.83,0.91,3.00,0.76
sub-verse068_vert-16-seg-vert_msk,0.85,0.64,2.24,0.84
sub-verse068_vert-17-seg-vert_msk,0.86,0.61,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.86,0.68,2.24,0.84
sub-verse068_vert-19-seg-vert_msk,0.86,0.65,2.24,0.83
sub-verse068_vert-20-seg-vert_msk,0.77,0.93,2.83,0.72
sub-verse068_vert-21-seg-vert_msk,0.84,0.69,2.24,0.81
sub-verse068_vert-22-seg-vert_msk,0.86,0.71,2.24,0.83
sub-verse068_vert-23-seg-vert_msk,0.87,0.62,2.00,0.87
sub-verse068_vert-24-seg-vert_msk,0.83,0.81,3.16,0.78
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.74,1.01,3.46,0.70
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.66,1.59,4.47,0.59
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.70,1.42,4.00,0.65
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.68,1.52,4.90,0.58
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.72,1.26,4.53,0.61
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.73,1.31,4.24,0.63
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.79,1.01,4.12,0.71
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.73,1.24,5.00,0.62
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.73,1.39,5.39,0.57
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.78,1.17,5.83,0.64
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.72,1.13,7.62,0.50
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.68,1.26,7.21,0.45
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.69,1.15,6.56,0.45
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.46,6.40,0.38
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.01,5.10,0.56
